	Verb_Address	Verb_Afun	Verb_Tag	Sbj_Tag	Pnom_Tag	Verb_Lemma	isValid	note
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##26.2	26.2	Pred	v3spia---	v--ana---	a-s---nn-	#Reconstructed	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##31.10	31.1	Obj	v--pna---	v--pna---	a-s---nac	#Reconstructed	0	annotation error
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##45.10	45.1	Obj	v--pna---	n-s---ma-	a-s---ma-	#Reconstructed	0	annotation error
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##129.8	129.8	Pred	v3spia---	n-s---fn-	n-s---fn-	#Reconstructed	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##130.5	130.5	Obj	v--pna---	n-p---ma-	a-p---mac	#Reconstructed	0	annotation error
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##133.16	133.16	Obj	v--pna---	p-p---ma-	a-p---ma-	#Reconstructed	0	annotation error
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##137.25	137.25	Obj	v3spia---	n-s---fn-	a-s---fn-	#Reconstructed	0	cit. Simonides!
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##137.34	137.34	Obj	v3spia---	n-s---mn-	a-s---mn-	#Reconstructed	0	cit. Simonides!
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##137.39	137.39	Obj	v3spia---	n-s---mn-	n-s---mn-	#Reconstructed	0	cit. Simonides!
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##137.49	137.49	Obj	v3spia---	n-s---mn-	n-s---mn-	#Reconstructed	0	cit. Simonides!
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##150.12	150.12	Pred	v3piia---	a-p---fn-	n-p---mg-	#Reconstructed	0	gapping
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##633.10	633.1	Sb	v--anm---	n-p---fa-	a-p---fac	#Reconstructed	0	gapping
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##638.15	638.15	Obj	v--pna---	v--ana---	a-s---na-	#Reconstructed	1	
/home/francesco/Documents/work/github/pAGDT/data/pdt/DiodorusSic_Book11.tb.a.gz##828.23	828.23	Adv	---------	v--ana---	a-s---nn-	#Reconstructed	1	
