Sent.ID	Tree.Address	Author	Vb.Afun	Vb.pos	Sb.pos	Pnom.pos	Pnom.lemma	Sb.rank	Pnom.rank	Order	Length.subtree	Predication.Type	IsValid	Note	Century
a-tlg0003.tlg001-1.127.1-s23539-w0	Thucydides_Book1.tb.a.gz##797.0	Thucydides	Obj	v--pna---	v--pna---	a-s---nac	ῥᾴδιος	34	29	P-Sb	subtree	#Reconstructed	0.0	annotation error	5th
a-tlg0003.tlg001-1.9.2-s22788-w0	Thucydides_Book1.tb.a.gz##46.0	Thucydides	Adv	v-sppamg-	n-s---mg-	n-s---mg-	ἀδελφός	57	60	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.142.3-s23651-w0	Thucydides_Book1.tb.a.gz##909.0	Thucydides	Pred	v3spia---	v--anm---	a-s---nn-	χαλεπός	10	4	P-Sb	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.69.6-s23154-w0	Thucydides_Book1.tb.a.gz##412.0	Thucydides	Pred	v3spia---	n-s---fn-	n-p---mg-	ἀνήρ	1	5	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.134.2-s23579-w0	Thucydides_Book1.tb.a.gz##837.0	Thucydides	Obj	v-sppama-	p-s---ma-	d--------	ἔνδον	25	22	P-Sb	subtree	εἰμί			5th
a-tlg0003.tlg001-1.116.1-s23461-w0	Thucydides_Book1.tb.a.gz##719.0	Thucydides	Atr	v3piia---	a--------	n-p---fn-	στρατιῶτις	63	64	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.71.3-s23173-w0	Thucydides_Book1.tb.a.gz##431.0	Thucydides	Pred	v3spia---	a-p---nn-	a-p---nn-	ἄριστος	7	8	Sb-P	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.42.2-4-s22997-w0	Thucydides_Book1.tb.a.gz##255.0	Thucydides	Pred	v3spia---	v--anm---	a-s---nn-	ἄξιος	43	32	P-Sb	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.1.3-s22745-w0	Thucydides_Book1.tb.a.gz##3.0	Thucydides	Pred	v3siia---	v--ana---	a-p---nn-	ἀδύνατος	11	15	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.38.5-s22977-w0	Thucydides_Book1.tb.a.gz##235.0	Thucydides	Pred	v3siia---	v--anm---	a-s---nn-	αἰσχρός	19	18	P-Sb	subtree	#Reconstructed	0.0	gapping	5th
a-tlg0003.tlg001-1.43.2-s23000-w0	Thucydides_Book1.tb.a.gz##258.0	Thucydides	Obj	v--pna---	p-s---ma-	n-s---ma-	καιρός	7	11	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.73.2-s23189-w0	Thucydides_Book1.tb.a.gz##447.0	Thucydides	Atr	v3spia---	n-p---fn-	n-p---mn-	μάρτυς	11	14	Sb-P	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.40.3-s22988-w0	Thucydides_Book1.tb.a.gz##246.0	Thucydides	Pred	v3sfim---	v--pne---	n-s---fn-	ἀνάγκη	10	1	P-Sb	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.122.1-s23500-w0	Thucydides_Book1.tb.a.gz##758.0	Thucydides	Pred	v3spia---	v-sapamn-	a-s---mnc	βέβαιος	7	8	Sb-P	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.26.5-27.1-s22898-w0	Thucydides_Book1.tb.a.gz##156.0	Thucydides	Pred	v3spia---	n-s---nn-	n-s---mn-	ἰσθμός	14	12	P-Sb	subtree	εἰμί			5th
a-tlg0003.tlg001-1.85.2-s23277-w0	Thucydides_Book1.tb.a.gz##535.0	Thucydides	Adv	v-pppamg-	p-p---mg-	a-p---mg-	ἑτοῖμος	25	23	P-Sb	subtree	εἰμί			5th
a-tlg0003.tlg001-1.80.3-s23238-w0	Thucydides_Book1.tb.a.gz##496.0	Thucydides	Pred	v3spia---	n-s---fn-	a-s---fn-	παρόμοιος	11	8	P-Sb	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.35.5-s22958-w0	Thucydides_Book1.tb.a.gz##216.0	Thucydides	Atr	v3spia---	p-s---nn-	n-s---fn-	πίστις	23	25	Sb-P	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.23.2-s22870-w0	Thucydides_Book1.tb.a.gz##128.0	Thucydides	Pred	v3ppia---	v3paia---	v-pppefn-	ἁλίσκομαι	26	27	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.46.2-s23014-w0	Thucydides_Book1.tb.a.gz##272.0	Thucydides	Pred	v3siia---	n-s---mn-	a-s---mn-	πέμπτος	13	16	Sb-P	subtree	#Reconstructed	0.0	gapping	5th
a-tlg0003.tlg001-1.82.4-s23258-w0	Thucydides_Book1.tb.a.gz##516.0	Thucydides	Sb	v--pna---	n-s---fa-	p-s---na-	τις	7	4	P-Sb	subtree	#Reconstructed	0.0		5th
a-tlg0003.tlg001-1.125.2-s23519-w0	Thucydides_Book1.tb.a.gz##777.0	Thucydides	Pred	v3siia---	v--pna---	a-p---nn-	ἀδύνατος	8	6	P-Sb	subtree	εἰμί			5th
a-tlg0003.tlg001-1.2.1-s22746-w0	Thucydides_Book1.tb.a.gz##4.0	Thucydides	Pred	---------	a-p---mn-	v-pppamn-	ἀπολιμπάνω	20	23	Sb-P	subtree	#Reconstructed	0.0		5th
a-tlg0003.tlg001-1.10.4-s22801-w0	Thucydides_Book1.tb.a.gz##59.0	Thucydides	Pred	v3spia---	v--pna---	v-srpann-	ἔοικα	6	4	P-Sb	subtree	#Reconstructed			5th
a-tlg0003.tlg001-1.35.5-s22958-w0	Thucydides_Book1.tb.a.gz##216.0	Thucydides	Sb	v3piia---	p-p---mn-	a-p---mn-	πολέμιος	18	19	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.53.2-s23064-w0	Thucydides_Book1.tb.a.gz##322.0	Thucydides	Adv	v3spia---	n-s---fn-	v--pna---	κωλύω	4	6	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.41.3-s22995-w0	Thucydides_Book1.tb.a.gz##253.0	Thucydides	Obj	v--pna---	v-sppama-	a-s---ma-	φίλος	6	1	P-Sb	subtree	#Reconstructed	0.0	annotation error	5th
a-tlg0003.tlg001-1.50.5-s23048-w0	Thucydides_Book1.tb.a.gz##306.0	Thucydides	Obj	v3ppsa---	n-p---fn-	a-p---fn-	ὀλίγος	46	47	Sb-P	subtree	εἰμί			5th
a-tlg0003.tlg001-1.81.5-s23250-w0	Thucydides_Book1.tb.a.gz##508.0	Thucydides	Pred	v3sfim---	v--pne---	a-s---nn-	καλός	6	8	Sb-P	subtree	#Reconstructed			5th
