Prec	Seq	Count
%	أَعلَى	1
%	أَمر	1
%	أَمَّا	1
%	أَو	2
%	إِضَافَة	1
%	إِلَى	5
%	إِلَّا	1
%	بَاقِي	1
%	بَدَل	2
%	بَعدَ	1
%	بَينَمَا	3
%	بِ	2
%	تَرَاجَع	2
%	تَلَا	1
%	تَمَثَّل	1
%	ثُمَّ	1
%	حَقَّق	1
%	حَيثُ	4
%	خَطوَة	1
%	خِلَالَ	7
%	زِيَادَة	4
%	سَنَة	3
%	سَنَوِيّ	3
%	سُوِيسرِيّ	1
%	صَرَّف	1
%	طِبق	1
%	عَام	5
%	عَلَى	4
%	عَمِل	1
%	عَن	6
%	فَ	1
%	فَضل	1
%	فَقَط	4
%	فِي	18
%	قَلَّص	1
%	كَ	1
%	كَمَا	2
%	لِ	20
%	مُتَزَامِن	2
%	مُشَارَكَة	1
%	مُقَابِلَ	3
%	مُقَارَنَة	3
%	مِليُون	1
%	مِمَّا	2
%	مِن	108
%	نَظَر	1
%	نِسبَة	1
%	وباقي	1
%	وَ	31
+	2	1
+	أَيضًا	1
+	إِبَاحِيّ	1
+	إِصلَاحِيّ	1
+	المتوجهة	1
+	اَلَّذِي	1
+	اِختَبَر	2
+	بيان	2
+	بِي	2
+	جَمع	1
+	روبو	1
+	رُوسِيّ	1
+	زَعِيم	1
+	سلام	1
+	سِي	1
+	شهاب	2
+	صَدَر	1
+	عَائِلَة	1
+	ميغ	2
+	مِن	1
+	نَفط	1
/	11	1
/	أَغُسطُس	1
/	اسوشيتد	1
/	بَاكِستَانِيّ	1
/	خَرِيطَة	1
/	دُونَ	1
/	قاو	1
/	قَال	1
/	قَدِيم	1
/	لِ	1
/	يُولِيُو	1
0	أَبدَى	1
0	وَقَّع	2
0.4	%	1
0.6	%	1
0.7	%	1
0.75	%	1
0.8	%	1
00	ر	1
001	+	1
002	+	1
01	ر	1
01	شَهر	1
02	2	1
02	ر	1
03	10	1
03،50	ت	1
06	11	1
07	36	1
07	41	1
07	56	1
07	59	2
07	ر	1
08	03	1
08	06	1
08	08	1
08	11	1
08	15	1
08	19	1
08	21	1
08	29	1
08	34	1
08	36	2
08	41	1
08	52	1
08	55	1
08	58	1
09	03	1
09	04	1
09	06	1
09	09	1
09	16	1
09	18	1
09	20	1
09	28	2
09	31	1
09	37	1
09	38	1
09	41	1
09	47	1
09	54	2
0،9	%	1
1	%	1
1	1	4
1	12	2
1	2	2
1	2004	1
1	3	1
1	6	1
1	أَبرَامس	1
1	أَيلُول	1
1	إِنَّ	1
