Head_Lemma	Dep_Lemma	Relation	Count
%	تَرَاجَع	ccomp	1
%	عَام	nmod	1
0	وَقَّع	parataxis	2
0.4	%	nmod	1
0.6	%	nmod	1
0.6	سِوَى	case	1
0.6	طَاقَة	nmod	1
0.7	%	nmod	1
0.7	سِوَى	case	1
0.7	نَاتِج	nmod	1
0.75	%	nmod	1
0.75	إِلَى	case	1
0.75	سَنَوِيّ	amod	1
0.8	%	nmod	1
0.8	اَل	cc	1
0.8	بَاقِي	amod	1
00	ر	cc	1
001	+	cc	2
001	إِي	nmod	1
001	بِي	nmod	1
002	+	cc	2
002	إِي	nmod	1
002	بِي	nmod	1
01	ر	cc	1
01	شَهر	nmod	1
01	فِي	case	1
02	2	conj	1
02	أَيضًا	advmod	1
02	ر	cc	1
02	م	nmod	1
03	10	conj	1
03	ثوان	nmod	1
03،50	ت	nmod	1
03،50	غ	nmod	1
06	11	conj	1
07	36	conj	1
07	41	conj	1
07	54	conj	1
07	56	conj	1
07	59	conj	2
07	ثَانِيَة	nmod	1
08	03	conj	1
08	06	conj	1
08	08	conj	1
08	11	conj	1
08	15	conj	1
08	19	conj	1
08	21	conj	1
08	29	conj	1
08	34	conj	1
08	36	conj	2
08	41	conj	1
08	52	conj	1
08	55	conj	1
08	58	conj	1
09	03	conj	1
09	04	conj	1
09	06	conj	1
09	09	conj	1
09	16	conj	1
09	18	conj	1
09	20	conj	1
09	28	conj	2
09	31	conj	1
09	37	conj	1
09	38	conj	1
09	41	conj	1
09	47	conj	1
09	54	conj	2
0،9	%	nmod	1
0،9	اَلَّذِي	cc	1
0،9	رَجُل	nmod	1
0،9	وَ	cc	1
1	1	conj	4
1	12	nummod	2
1	2	conj	2
1	2004	nummod	1
1	3	conj	1
1	4	conj	1
1	5	conj	1
1	6	conj	1
1	أَيلُول	nmod	1
1	تَفسِير	dep	1
1	حَالِيّ	amod	3
1	حَرَكَة	dep	1
1	حَزِيرَان	nmod	1
1	ذَهَبِيّ	amod	1
1	ر	cc	2
1	صفر	conj	1
1	صِفر	conj	1
1	ضَرُورَة	parataxis	1
1	فِي	case	2
1	مَايُو	nmod	3
1	نختلف	parataxis	1
1	وهذا	cc	1
1	وَ	cc	1
1	وَصَل	parataxis	1
1,047	7	cc	1
1,047	مليار	nmod	1
1,052	9	cc	1
1,052	إِلَى	case	1
1,052	مِليَار	nummod	1
1.00	أَمسِ	advmod	1
1.00	تَوقِيت	nmod	1
1.05	مِليُون	nummod	1
1.1	قُرَابَةَ	advmod	1
1.1	مليار	nmod	1
1.12	بِليُون	nummod	1
1.133	مِليَار	nummod	1
1.173	إِلَى	case	1
1.173	مِليَار	nummod	1
1.2	مِليُون	nummod	2
1.3	%	nmod	1
1.3	بِليُون	nummod	1
1.3	حَجم	nmod	1
1.3	مُتَوَسِّط	amod	1
1.34	مِليُون	nummod	1
1.35	إِلَى	case	1
1.35	يُورُو	nmod	1
1.36	مِليُون	nummod	1
1.4	قِيمَة	nsubj	1
1.4	مليار	nmod	1
1.4	مِليَار	nummod	1
1.5	180.72	appos	1
1.5	إِلَى	case	2
1.5	بَينَ	case	1
1.5	بِليُون	conj	1
