Prec	Seq	Count
%	'	1
%	87	1
%	Bonavista	1
%	Costa	1
%	Media	1
%	Perafort	1
%	Plaça	1
%	Port	1
%	Reus	1
%	Sant	1
%	Universitat	1
%	a	3
%	així	1
%	al	3
%	anual	1
%	cada	4
%	com	1
%	de	26
%	del	22
%	durant	1
%	el	13
%	en	8
%	es	1
%	i	15
%	mentre	2
%	més	8
%	o	2
%	per	4
%	percentatge	1
%	respecte	2
%	seguit	2
%	sobre	1
%	superior	1
%	també	1
%	un	1
%	és	1
&	Imapktes	1
'	'	13
'	100	1
'	120	1
'	1969	1
'	1971	1
'	1975	1
'	1979	1
'	1982	2
'	1984	1
'	1987	1
'	1990	1
'	1991	1
'	1995	2
'	1996	1
'	1997	1
'	1999	1
'	2001	1
'	30	1
'	50	1
'	A	1
'	Adriana	1
'	Agenda	2
'	Aigua-Terra-Aire	1
'	Albinyana	1
'	Amb	2
'	Amor	4
'	Antoni	1
'	Ariel	1
'	Assedo	1
'	Assentaments	1
'	Atlàntic	2
'	Auto	1
'	Bachir	1
'	Balalaika	1
'	Barcelona	4
'	Big	1
'	Bitjoc	1
'	Bocatto	1
'	Calafell	1
'	Cambio	1
'	Caras	1
'	Carregat	1
'	Casablanca	1
'	Cassola	1
'	Castell	2
'	Catalans	2
'	Catalunya	5
'	Chispa	1
'	CiU	5
'	Cocoduro	1
'	Coll	2
'	Com	1
'	Comarques	1
'	Comix	1
'	Compradors	1
'	Coneixent	3
'	Contra	1
'	Costa	2
'	Covivencia	1
'	Cristal·lització	1
'	Cròniques	2
'	Cursos	2
'	Còctel	1
'	Declaració	1
'	Destino	1
'	Diccionari	1
'	Dies	3
'	Divertir	1
'	Dones	1
'	Douche	1
'	Drop	1
'	Dècimes	1
'	Déu	1
'	ERC	2
'	Easton	1
'	Educació	1
'	Efectes	1
'	Eivissa	1
'	El	19
'	Els	7
'	Embassaments=	1
'	Empúries	2
'	En	3
'	Epidemiologia	1
'	Eròtica	1
'	Escola	1
'	Espai	1
'	Estació	2
'	Estoy	1
'	Ever	1
'	Everest	1
'	Festeig	2
'	Fra	1
'	Galceran	1
'	Gaudí	1
'	Gimlet	1
'	Girona	1
'	Glossari	1
'	Guies	1
'	Independent	1
'	Informe	2
'	Jacint	1
'	Jaume	1
'	Jesús	3
'	Joan	2
'	Jornades	1
'	L'	9
'	La	27
'	Laberint	1
'	Les	3
'	Lili	1
'	Lleida	2
'	Lous	1
'	Mas	1
'	Mas-Colell	1
'	Medi	1
'	Metropol	1
'	Minerva	1
'	Misteri	1
'	Modes	1
'	Moianès	2
'	Moments	1
'	Muts	1
'	Més	1
'	Nadal	1
'	Nandes	1
'	Negro	2
'	New	1
'	Nit	1
'	Notícies	1
'	Operación	2
'	Original	1
'	Pantalles	1
'	Panteix	1
'	Parlo	1
'	Passages	1
'	Passejant	1
'	Pensem	1
'	Per	3
'	Pirineus	1
'	Pluja	2
'	Pont	1
'	Present	2
'	Primeras	1
'	Proa	3
'	Pròtesi	2
'	Publicacions	1
'	Quadern	1
'	Quaderns	1
'	Quan	1
'	Quants	1
'	Quatre	1
'	Remot	1
'	Retrospectiva	1
'	Romeo	1
'	Royal	1
'	Sauna	1
'	Sea	1
'	Senyoria	2
'	Seur	1
'	Si	2
'	Signes	3
'	Silver	1
'	Sinopsis	1
'	Sitges	1
'	Sustain	1
'	T'	1
'	TV3	2
'	Tabernae	1
'	Tardor	1
'	Temps	2
'	Tensió	1
'	Testimonis	1
'	The	6
'	Tiempo	1
'	Treball	3
'	Tres	2
'	Tècniques	1
'	Un	1
'	Underworld	1
'	Viatge	2
'	Videoart	1
'	Voleriana	2
'	Víctor	1
'	Web	1
'	World	1
'	Yelow	1
'	Zapatares-Llamazero	1
'	a	27
'	abandonament	1
'	abordar	1
'	absolutament	1
'	actitud	1
'	actuació	1
'	actualment	1
'	ad	3
'	afavorir	2
'	afecte	1
'	afegir	1
'	afirmar	2
'	agafat	1
'	aigua	1
'	així	3
'	això	4
'	al	5
'	algun	2
'	allunyar	1
'	almenys	1
'	altre	1
'	amb	15
'	amic	1
'	anar	8
'	ans	1
'	antecedent	1
'	antitransvasament	1
'	aparentar	1
'	apropar	1
'	aquest	6
'	aquí	1
'	ara	2
'	arrossegar	1
'	artificial	1
'	atribuir	1
'	augmentar	1
'	avançat	1
'	avui	2
'	b	1
'	banalitzar	1
'	basat	1
'	benvingut	1
'	bo	2
'	buscar	2
'	bypass	1
'	caldre	5
'	caminar	1
'	canvi	1
'	cançons	1
'	caos	1
'	cap	2
'	carinyo	1
'	caràcter	1
'	castell	1
'	catalanisme	1
'	celebrar	2
'	clau	1
'	col·laborar	4
'	com	4
'	coma	1
'	començar	1
'	comunicar	1
'	concloure	2
'	condemnat	1
'	confirmar	1
'	conscienciar	1
'	consell	2
'	conservar	1
'	constant	2
'	continuar	1
'	contra	2
'	convocar	1
'	coordinació	1
'	corresponsabilitat	1
'	cosa	1
'	creure	1
'	curts	1
'	d'	1
'	davant	3
'	de	47
'	declarar	1
'	dedicat	1
'	deixar	1
'	deixat	1
'	del	8
'	demanar	2
'	denunciar	1
'	dependre	1
'	des	3
'	desenvolupament	1
'	desgovern	1
'	desig	1
'	després	1
'	desqualificar	1
'	dins	1
'	dintre	1
'	dir	3
'	disconformitat	1
'	discriminació	2
'	disposar	1
'	donar	2
'	dormir	1
'	dos	2
'	dotar	1
'	durant	1
'	efecte	2
'	el	100
'	ell	13
'	en	28
'	encara	2
'	encarnar	1
'	encomiable	1
'	enganyat	1
'	enorme	1
'	entre	4
'	es	16
'	escoltar	1
'	escrit	1
'	escàs	1
'	espai	1
'	especialitzar	1
'	especulatiu	1
'	estar	3
'	estima	1
'	esverat	1
'	evitar	1
'	exageradament	1
'	excepte	1
'	exclusivament	1
'	exercir	1
'	existir	2
'	explicar	1
'	extraordinari	1
'	faciliti	1
'	feliçment	1
'	fer	6
'	festeig	1
'	fet	1
'	finalment	1
'	fins	4
'	fixar	1
'	fomentar	1
'	fonamental	1
'	formació	1
'	fort	1
'	força	1
'	físicament	1
'	garantir	1
'	haver	53
'	hereu	1
'	hi	6
'	hidrospeed	2
'	hilarant	1
'	ho	2
'	humor	1
'	i	70
'	imatge	1
'	impossible	1
'	impotent	1
'	inaudit	1
'	incongruent	1
'	incrementar	1
'	informe	1
'	iniciar	2
'	insistir	1
'	insostenible	1
'	integrar	1
'	intel·lectualment	1
'	intenció	1
'	intentar	2
'	ja	10
'	jo	10
'	juntament	1
'	lamentar	2
'	legal	1
'	lluny	1
'	macianista	1
'	mai	1
'	mainada-peques-kids	1
'	mal	2
'	manipulació	1
'	mariachi	1
'	massa	3
'	mentre	6
'	mer	1
'	mirar	1
'	mitjançant	1
'	model	1
'	modern	1
'	molt	6
'	monopoli	1
'	més	3
'	mínim	1
'	nacionalisme	1
'	ni	6
'	no	32
'	només	1
'	o	5
'	obeir	1
'	objectiu	1
'	ocupar	1
'	okupa	1
'	on	7
'	on-line	1
'	organitzar	1
'	organitzat	1
'	orgia	1
'	parlar	1
'	participar	1
'	patrocinat	1
'	pel	5
'	pensar	1
'	per	28
'	perillós	1
'	perquè	9
'	però	5
'	plom	1
'	poca-solta	1
'	poder	3
'	portar	1
'	posar	3
'	postmaragallisme	2
'	postpujolisme	3
'	potencialment	1
'	preferentment	1
'	preocupant	1
'	preocupar	1
'	prepotent	1
'	produït	1
'	prohibir	1
'	protagonisme	1
'	protagonista	1
'	puntualitzar	1
'	qualsevol	1
'	quan	7
'	que	49
'	quin	1
'	radicalitat	2
'	ratificar	1
'	reacció	1
'	recordar	2
'	recuperar	1
'	referent	1
'	reflexionar	1
'	renovació	1
'	repertori	1
'	requerir	1
'	respecte	1
'	responsabilitat	1
'	resultat	1
'	retornar	1
'	revolució	1
'	ràfting	1
'	savi	1
'	se	1
'	segons	7
'	segurament	1
'	sempre	2
'	sense	3
'	ser	30
'	si	15
'	simple	1
'	simplement	2
'	sinònim	1
'	sinó	1
'	situació	1
'	situar	1
'	situat	1
'	sobre	1
'	sortosament	1
'	sovint	1
'	suficient	1
'	superar	1
'	suposar	1
'	tal	1
'	taller	1
'	també	1
'	tant	2
'	tard	1
'	tenir	10
'	terriblement	1
'	testimoni	1
'	tot	5
'	treballar	1
'	trompo	2
'	tu	2
'	un	23
'	urgent	1
'	veritablement	1
'	vexar	1
'	violador	1
'	violència	1
'	viu	1
'	viure	1
'	voler	2
'	www.plaestany.net	1
'	www.plaestany.org/online	1
'Guitar'	López	1
's	Hospital	1
's	Musick	1
's	Port	2
+	de	2
-0.10	a	1
-0.58	Extremadura	1
-1,91	%	1
-1,97	%	1
-2.08	Múrcia	1
-2.09	Astúries	1
-2.43	Castella	1
-2.66	Andalusia	1
-2.90	Catalunya	1
-3,02	%	1
-3,74	%	1
-3.02	es	1
-3.68	i	1
-3.91	Ceuta	1
-3098	i	1
-3950	Castella-la	1
-4,02	%	1
-4,98	%	1
-4.17	Madrid	1
-4.25	Castella-la	1
-4.50	Navarra	1
-4332	Comunitat	1
-5,76	%	1
-5052	Catalunya	1
-5729	Galícia	1
-6,44	per	1
-6.20	Aragó	1
-7201	Balears	1
-9,95	per	1
-fpa-	1938-1940	2
-fpa-	Humor	1
-fpa-	musings	1
-fpt-	'	2
-fpt-	i	1
-fpt-	un	1
-les	ell	1
-les	presentar	1
-les	ser	1
-ne	l'	1
-nos	en	2
-nos	jo	1
-se	amb	1
0	'	1
0+373	i	1
0+419	a	1
0,06	%	1
0,18	%	1
0,5	%	2
0,56	per	1
0,7	%	1
0,7	per	1
0,80	%	1
0,94	%	1
0-2	i	1
0.1	de	1
0.22/100	mentre	1
0.28/100	fins	1
0.3	euro	1
0.41	euro	1
0.42	euro	1
0.42/100	per	1
0.60	euro	1
0.7/100	de	1
0.8	metre	1
0.86	milligram	1
0.8834	de	1
0.8990	i	1
0.90	dòlar	1
0.90/100	amb	1
0.95	dòlar	1
0.9791	dòlar	1
00.35	hores	1
00.40	de	1
08002	93	1
08007	934125733	1
092	el	2
092	que	1
1	2	1
1	any	5
1	d'	1
1	de	12
1	del	3
1	indicar	1
1	pesseta	1
1'2	%	1
1,1	%	1
1,19	%	1
1,35	per	1
1,47	per	1
1-0	quan	1
1-3	a	1
1-4	definitiu	1
1.15	hora	1
1.24/100	i	1
1.25	metre	1
1.3	quilòmetre	1
1.34	milió	1
1.35/100	i	1
1.4	dècima	1
1.40	euro	1
1.48	euro	1
1.49	minut	1
1.5	i	1
1.5	milió	2
1.55	euro	2
1.57/100	Repsol	1
1.6/100	del	1
1.7/100	segons	1
1.76/100	per	1
1.8	milió	1
1.8/100	i	1
1.82/100	més	1
1/100	cultural	1
1/100	del	1
1/100	ser	1
10	%	2
10	11	2
10	20	1
10	abonament	1
10	acusat	1
10	al	2
10	any	9
10	aparcament	1
10	centímetre	1
10	d'	2
10	de	16
10	del	4
10	dia	1
10	euro	1
10	hectàrea	2
10	i	6
10	milió	2
10	municipi	4
10	noia	1
10	parc	1
10	pas	1
10	país	1
10	per	2
10	persona	1
10	pesseta	3
10	peça	1
10	punt	2
10	quilòmetre	3
10	també	1
10	venda	2
10	viatge	1
10,3	%	1
10,5	%	1
10.00	hores	1
10.12	euro	1
10.12	i	1
10.28	euro	1
10.95	punt	1
10/100	aquest	1
10/100	de	1
10/100	del	1
10/100	i	1
10/100	respecte	1
100	%	4
100	any	2
100	aturat	1
100	dada	1
100	emissió	1
100	hectàrea	1
100	i	1
100	milió	4
100	mitjana	1
100	per	1
100	persona	1
100	plaça	2
100	premi	1
100	premis	1
100	quilo	1
100.000	respectivament	1
1000	milió	4
1000	més	1
1000	passatger	1
1000	persona	1
1000	pesseta	1
10000	cosa	1
10000	exemplar	1
10000	i	1
10000	lloc	1
10000	milió	1
10000	punt	1
100000	au	1
100000	cadascun	1
100000	formació	1
100000	habitant	2
100000	milió	1
100000	pesseta	3
100000	salt	2
10000000	pesseta	1
10018	es	1
10048000	pesseta	1
101	cas	1
10149740	pesseta	1
102	a	1
102	delegat	1
104	de	1
10400	pesseta	1
104647	pesseta	1
1050	estar	1
105000	persona	1
1050000	pesseta	1
106	confraria	1
106000	pesseta	1
1065	-5,76	1
107.026	de	1
1073/2002	que	1
1074000	espectador	1
108	i	1
1080000	pesseta	2
10857600	pesseta	1
1098000	espectador	1
11	%	1
11	a	2
11	anar	1
11	any	1
11	d'	1
11	de	11
11	del	2
11	dia	1
11	es	1
11	fins	1
11	hores	3
11	i	3
11	mes	1
11	paperina	1
11	país	1
11	posició	1
11	registre	1
11	vegada	1
11,7	%	1
11,8	%	1
11.12/100	amb	1
11.2	de	1
11.30	hores	1
11.81	euro	2
110	milió	1
110	o	2
110	tanca	1
11000	lloc	1
11000	milió	1
1100000	dosi	1
111000	milió	1
111000	pesseta	1
11159000	pesseta	1
1117	milió	1
112	del	1
112000	de	1
1124	del	1
113	lloc	1
1131	accident	1
11321.94	en	1
11404.90	en	1
11425.85	en	1
114927	treballador	1
115	milió	2
115000	tona	1
11511.63	en	1
11552	milió	1
11565	milió	1
1158000	pesseta	1
116	poema	1
116000	tona	1
1168	professor	1
117	municipi	1
117	restar	1
1173978.53	euro	1
11750	metre	1
118	i	2
1189	accident	1
11962	lloc	1
1198000	espectador	1
12	%	1
12	19	1
12	Cercaveus	1
12	any	1
12	augmentar	1
12	campanada	1
12	candidat	1
12	cap	1
12	cavall	1
12	d'	4
12	de	5
12	del	4
12	en	1
12	i	2
12	malalt	1
12	mes	1
12	milió	1
12	més	1
12	partit	1
12	per	1
12	primer	1
12	quilòmetre	1
12	sala	1
12	setmana	1
12	telenovel·la	1
12.09	a	1
12.25	euro	1
12.30	hores	3
12.35	euro	1
12.51	i	1
12.6	euro	1
12.79	Extremadura	1
120	fotografia	1
120	jornades	1
1200	enquesta	1
1200	milió	1
1200	persona	1
12000	euro	1
12000	igual	1
12000	persona	1
120000	pesseta	2
1200000	pesseta	1
12009	milió	1
1202.02	euro	1
120265998	pesseta	1
12078	metre	1
121	per	1
121000	pesseta	1
122089	metre	1
1235	sortida	1
125	any	2
125000	salt	1
126	municipi	1
126	pujar	1
12600	pesseta	1
1265-1321	il·lustrat	1
128	milió	1
128	pastilla	1
128000	viatger	1
129	Fira	1
129	milió	1
12:37	i	1
12h	a	1
13	%	4
13	20	1
13	activitat	2
13	any	3
13	d'	3
13	de	12
13	dia	1
13	i	1
13	metre	1
13	proposta	1
13	quan	1
13,9	%	1
13.31	hectàrea	1
13.36/100	segons	1
1300	i	1
1300	milió	2
1300	persona	1
1300	treballador	1
13000	milió	2
130000	milió	1
133	equip	1
135	a	1
13500	any	2
135973	metre	1
137	accident	1
139	milió	1
14	%	1
14	15	2
14	Josep	1
14	any	5
14	bilió	1
14	canal	2
14	de	7
14	estudiant	1
14	ho	1
14	hores	1
14	membre	1
14	metre	1
14	milió	2
14	per	1
14	però	1
14	quan	1
14	quilòmetre	1
14	treball	1
14	vinent	1
14,07	per	1
14,17	%	1
14.3	milió	1
14.63/100	des	1
140	el	1
140	mail	1
140	metre	1
140	milió	1
14000	milió	2
141	jubilat	1
142932	minut	1
143079	llibre	1
144	espai	1
144	euro	1
144	pujar	1
14510	dòlar	1
147	assistent	1
147	del	1
1480	milió	1
1483000	espectador	1
14h	entre	1
14h	i	1
15	%	6
15	16	2
15	Joaquim	1
15	a	1
15	al	1
15	amb	1
15	any	7
15	carrer	1
15	d'	2
15	de	10
15	del	1
15	dia	2
15	dona	1
15	el	1
15	i	2
15	metre	1
15	milió	2
15	minut	1
15	no	1
15	o	2
15	per	5
15	persona	2
15	principal	1
15	terrorista	1
15,32	per	1
15.65	punt	1
15/100	el	1
15/100	i	1
15/100	ser	1
