Head_Lemma	Dep_Lemma	Relation	Count
'	'	nmod	43
'	A	case	1
'	Amb	case	2
'	Com	case	1
'	Deutsche	nmod	1
'	En	case	3
'	Parlament	obl	1
'	Per	case	3
'	STOP	flat	1
'	Si	case	2
'	a	case	3
'	a	mark	2
'	actuar	xcomp	1
'	això	obl	1
'	al	case	2
'	almenys	advmod	1
'	amb	case	4
'	anar	xcomp	1
'	canvi	obl	1
'	centre	nmod	1
'	claredat	obl	1
'	com	case	1
'	com	mark	1
'	complex	obl	1
'	complicitat	obj	1
'	context	obl	1
'	contradicció	obl	1
'	cop	obl	1
'	curs	obl	1
'	davant	case	1
'	de	case	2
'	de	mark	2
'	defensar	xcomp	1
'	del	case	1
'	demà	advmod	1
'	desenvolupament	obj	1
'	donar	acl	1
'	donar	advcl	1
'	en	case	8
'	en	mark	1
'	endegar	acl	1
'	esperar	advcl	1
'	excel·lència	nmod	1
'	fer	ccomp	1
'	fins	case	1
'	horitzó	obl	1
'	i	cc	1
'	impediments	compound	1
'	incoherent	obj	1
'	incomodar	advcl	1
'	inici	obj	1
'	interès	obl	1
'	justícia	flat	1
'	lluny	mark	1
'	menystenir	advcl	1
'	mercat	nmod	1
'	mes	obl	1
'	muntanya	flat	1
'	no	flat	2
'	paisatge	flat	2
'	país	obl	1
'	pel	case	2
'	pensar	xcomp	1
'	per	case	4
'	per	mark	2
'	persona	obl	1
'	posi	compound	1
'	pànic	obj	1
'	que	case	1
'	recuperació	obj	1
'	resistència	obl	1
'	resultat	obl	1
'	sense	case	1
'	sense	mark	2
'	temps	obl	1
'	termini	nmod	1
'	tu	flat	1
'	via	obl	1
'	Àngel	nmod	1
'	És	flat	1
'	és	flat	2
'	órdenes	obj	1
-1,91	%	nmod	1
-1,97	%	nmod	1
-3,02	%	nmod	1
-3,74	%	nmod	1
-4,02	%	nmod	1
-4,98	%	nmod	1
-5,76	%	nmod	1
-6,44	cent	compound	1
-9,95	cent	compound	1
0	'	nmod	2
0	impacte	nsubj	1
0	línia	obl	1
0	ser	cop	1
0+373	0+419	conj	1
0+419	i	cc	1
0,06	%	nmod	1
0,06	un	nmod	1
0,18	%	nmod	1
0,18	un	nmod	1
0,5	%	nmod	2
0,5	de	case	1
0,5	entorn	case	2
0,56	cent	compound	1
0,56	un	nmod	1
0,7	%	nmod	1
0,7	al	case	1
0,7	cas	nmod	1
0,7	cent	compound	1
0,7	el	det	1
0,7	en	case	1
0,7	ingrés	nmod	1
0,80	%	nmod	1
0,80	un	nmod	1
0,94	%	nmod	1
0,94	un	nmod	1
0.09/100	un	nmod	1
0.22/100	un	nmod	1
0.28/100	un	nmod	1
0.42/100	de	case	1
0.42/100	el	det	1
0.42/100	només	advmod	1
0.7/100	comarca	nmod	1
0.7/100	població	nmod	1
0.7/100	un	nmod	1
0.75	el	det	1
0.75	en	case	1
0.81	desprs	advmod	1
0.81	i	cc	1
0.8834	enfront	case	1
0.8834	vigília	nmod	1
0.8990	0.90	conj	1
0.8990	el	det	1
0.90	el	det	1
0.90	i	cc	1
0.90/100	un	nmod	1
00.35	hores	compound	1
00.40	a	case	1
00.40	les	det	1
092	a	case	2
1	1997	compound	1
1	2001	compound	1
1	2003	compound	1
1	a	case	3
1	any	nmod	1
1	de	case	1
1	des	case	1
1	el	det	10
1	enguany	advmod	1
1	gener	compound	4
1	i	cc	1
1	juliol	compound	1
1	maig	compound	1
1	menor	nmod	1
1	migdia	compound	1
1	octubre	compound	1
1	setembre	compound	1
1	vinent	amod	1
1'2	%	nmod	1
1'2	amb	case	1
1'2	un	nmod	1
1,1	%	nmod	1
1,1	de	case	1
1,1	un	nmod	1
1,19	%	nmod	1
1,19	de	case	1
1,19	un	nmod	1
1,35	cent	compound	1
1,35	de	case	1
1,35	el	det	1
1,47	cent	compound	1
1,47	en	case	1
1,47	un	nmod	1
1-3	a	advmod	1
1-3	amb	case	1
1-3	còmode	amod	1
1-3	un	nmod	1
1-4	amb	case	1
1-4	definitiu	amod	1
1-4	el	det	1
1.04/100	de	case	1
1.04/100	el	det	1
1.24/100	un	nmod	1
1.35/100	el	det	1
1.5	2	conj	1
1.57/100	el	det	1
1.6/100	davant	case	1
1.6/100	el	det	1
1.6/100	període	nmod	1
1.65/100	el	det	1
1.7/100	a	case	1
1.7/100	el	det	1
1.76/100	accionista	nmod	1
1.76/100	i	cc	1
1.76/100	un	nmod	1
1.8/100	2/100	conj	1
1.8/100	de	case	1
1.8/100	el	det	1
1.8/100	entre	case	1
1.8/100	un	nmod	1
1.82/100	mes	obl	1
1.82/100	més	advmod	1
1.82/100	un	nmod	2
1/100	cultural	amod	1
1/100	de	case	1
1/100	el	det	4
1/100	generar	advcl	1
1/100	negoci	nmod	1
1/100	només	advmod	1
1/100	un	nmod	1
1/100	volum	nmod	1
10	%	nmod	2
10	11	conj	1
10	12	conj	1
10	13	conj	1
10	14	conj	2
10	15	conj	4
10	20	conj	2
10	200	conj	1
10	30	conj	1
10	8	conj	1
10	Maresme	nmod	1
10	a	case	2
10	a	cc	1
10	agost	compound	1
10	al	case	1
10	al	cc	1
10	altre	nmod	1
10	cent	compound	2
10	darrer	amod	1
10	de	case	2
10	del	case	3
10	el	det	25
10	entre	case	5
10	fins	case	5
10	gener	compound	1
10	i	cc	3
10	juliol	compound	2
10	juny	compound	5
10	maig	compound	1
10	març	compound	1
10	matí	compound	3
10	obra	nmod	1
10	passat	amod	1
10	pròxim	amod	1
10	setembre	compound	1
10	també	advmod	1
10	un	nmod	3
10	vespre	compound	1
10	últim	amod	2
10,3	%	nmod	1
10,5	%	nmod	1
10.00	a	case	1
10.00	el	det	1
10.00	hores	compound	1
10.12	11.81	conj	1
10.28	el	det	1
10/100	49	conj	1
10/100	al	case	1
10/100	de	case	1
10/100	el	det	2
10/100	entre	case	1
10/100	plantilla	nmod	1
10/100	rater	amod	1
10/100	societat	nmod	1
10/100	un	nmod	2
100	%	nmod	4
100	'	nmod	2
100	Zabalburu	nmod	1
100	al	case	1
100	any	obl	1
100	bonificació	nsubj	1
100	cada	nmod	1
100	capital	nmod	1
100	cas	obl	1
100	cent	compound	1
100	darrer	amod	2
100	del	case	2
100	el	det	2
100	en	case	2
100	premis	flat	1
100	ser	cop	1
100	sobre	case	1
100	un	nmod	1
1000	el	det	2
1000	més	advmod	1
1000	un	nmod	1
10000	17000	conj	1
10000	entre	case	1
100000	cada	nmod	2
100000	cadascun	appos	1
100000	de	case	1
100000	i	cc	1
1050	persona	nmod	1
1065	-5,76	appos	1
1065	en	case	1
108	380	conj	1
11	%	nmod	1
11	14h	nmod	1
11	1998	compound	1
11	a	case	4
11	de	case	1
11	des	case	1
11	dilluns	nmod	2
11	el	det	8
11	en	case	1
11	hores	compound	2
11	i	cc	5
11	juliol	compound	1
11	juny	compound	3
11	les	det	1
11	maig	compound	1
11	matí	compound	2
11	només	advmod	1
11	octubre	compound	1
11	un	nmod	1
11,7	%	nmod	1
11,7	18,6	conj	1
11,7	més	advmod	1
11,7	un	nmod	1
11,8	%	nmod	1
11.12/100	el	det	1
11.2	qual	nmod	1
11.30	a	case	1
11.30	el	det	1
11.30	hores	compound	1
11.30	matí	compound	1
11.81	i	cc	1
110	220	conj	2
112	anar	aux	1
112	ressaltar	advcl	1
112	ser	cop	1
112	treball	nsubj	1
112000	any	nmod	1
112000	el	det	1
1124	2000	nmod	1
1124	al	case	1
11321.94	en	case	1
11404.90	en	case	1
11425.85	en	case	1
11511.63	en	case	1
117	aquell	nmod	1
117	de	case	1
118	de	case	1
12	%	nmod	1
12	1996	compound	1
12	1997	compound	1
12	1999	compound	1
12	5	conj	1
12	9	appos	1
12	CIU	nmod	1
12	Tribunal	nmod	1
12	a	case	5
12	al	cc	1
12	amb	case	1
12	cent	compound	1
12	del	case	4
12	dia	nmod	1
12	el	det	10
12	formar	advcl	1
12	hora	appos	1
12	i	cc	4
12	juny	compound	2
12	les	det	1
12	març	compound	1
12	migdia	compound	3
12	més	advmod	1
12	novembre	compound	1
12	octubre	compound	4
12	passat	amod	1
12	període	nmod	1
12	tren	nmod	1
12	un	nmod	1
12	últim	amod	1
12.30	a	case	3
12.30	el	det	3
12.30	hores	compound	3
12.54/100	el	det	1
120	Marquès	nmod	1
120	Sodoma	flat	1
120	el	det	1
120	jornades	flat	1
1200	el	det	1
12000	de	case	1
121	any	obl	1
121	cent	compound	1
121	més	advmod	1
121	un	nmod	1
125	el	det	1
12600	un	nmod	1
129	el	det	2
12:37	el	det	1
12:37	fins	case	1
12h	14h	nmod	1
12h	18h	conj	1
12h	de	case	1
13	%	nmod	4
13	10	conj	1
13	1984	compound	1
13	1996	compound	2
13	1999	compound	1
13	2000	compound	1
13	2001	compound	1
13	Agost	compound	1
13	amb	case	1
13	any	compound	1
13	any	obl	1
13	del	case	1
13	el	det	10
13	entre	case	1
13	exportació	nmod	1
13	fins	case	4
13	gener	compound	1
13	i	cc	4
13	juliol	compound	5
13	juny	compound	3
13	maig	compound	1
13	més	advmod	1
13	novembre	compound	1
13	octubre	compound	2
13	passat	amod	1
13	un	nmod	4
13,9	%	nmod	1
13,9	Filo	nmod	1
13,9	el	det	1
13.36/100	en	case	1
13.36/100	un	nmod	1
1300	1700	conj	1
1300	entre	case	1
1300	un	nmod	2
13000	el	det	1
130000	un	nmod	1
135	combatre	acl	1
14	%	nmod	1
14	15	conj	1
14	Josep	appos	1
14	Vallès	nmod	1
14	a	case	1
14	altre	nmod	2
14	cent	compound	1
14	del	case	1
14	el	det	4
14	en	case	1
14	fins	case	1
14	hores	compound	1
14	i	cc	3
14	juliol	compound	2
14	juny	compound	1
14	març	compound	2
14	passat	amod	1
14	president	appos	1
14	un	nmod	2
14'10	a	case	1
14'10	el	det	1
14,07	amb	case	1
14,07	cent	compound	1
14,07	població	nmod	1
14,07	un	nmod	1
14,17	%	nmod	1
14,17	del	case	1
14,17	demanda	nmod	1
14.63/100	un	nmod	1
147	delegat	nmod	1
1480	el	det	1
14h	a	case	2
15	%	nmod	6
15	16	conj	1
15	17	conj	1
15	1966	compound	1
15	1995	compound	1
15	1997	compound	1
15	20	conj	3
15	30	conj	1
15	Bages	nmod	1
15	Joaquim	appos	1
15	al	case	2
15	al	cc	2
15	amb	case	1
15	any	nmod	2
15	aquest	nmod	1
15	cent	compound	5
15	darrer	amod	1
15	de	case	2
15	del	case	5
15	el	det	12
15	en	case	1
15	entre	case	2
15	febrer	compound	1
15	fins	case	1
15	i	cc	5
15	juliol	compound	2
15	juny	compound	2
15	maig	compound	1
15	març	compound	1
15	octubre	compound	2
15	passat	amod	1
15	preu	appos	1
15	trasllat	nmod	1
15	un	compound	1
15	un	nmod	4
15,32	100.000	compound	1
15,32	i	cc	1
15,32	per	compound	1
15/100	20	conj	1
15/100	entre	case	1
15/100	un	nmod	4
150	el	det	1
150	un	nmod	1
1500	de	case	1
1500	el	det	1
1500	i	cc	1
1500	marge	nmod	1
15000	un	nmod	2
152	seguretat	nmod	1
152,73	%	nmod	1
152,73	del	case	1
154	%	nmod	1
154	el	det	1
1596	el	det	1
15:55	a	case	1
15:55	el	det	1
15:55	hores	compound	1
16	%	nmod	2
16	17	conj	1
16	18	conj	5
16	1997	compound	1
16	1998	compound	1
16	1999	compound	1
16	9	conj	1
16	a	case	2
16	abordar	acl	1
16	amb	case	1
16	cent	compound	1
16	de	case	3
16	de	compound	1
