Dep_Lemma	Head_Lemma	Count
%	-1,91	1
%	-1,97	1
%	-3,02	1
%	-3,74	1
%	-4,02	1
%	-4,98	1
%	-5,76	1
%	0,06	1
%	0,18	1
%	0,5	2
%	0,7	1
%	0,80	1
%	0,94	1
%	1'2	1
%	1,1	1
%	1,19	1
%	10	2
%	10,3	1
%	10,5	1
%	100	4
%	11	1
%	11,7	1
%	11,8	1
%	12	1
%	13	4
%	13,9	1
%	14	1
%	14,17	1
%	15	6
%	152,73	1
%	154	1
%	16	2
%	16,16	1
%	163,76	1
%	17'5	1
%	17,5	1
%	17,6	2
%	17,9	1
%	18,6	1
%	19,2	1
%	19,74	1
%	19,9	1
%	2	1
%	2,66	1
%	20	4
%	20,6	1
%	20,7	1
%	21,4	1
%	22	1
%	22,65	1
%	224	2
%	24	1
%	24,6	1
%	25	2
%	251	1
%	26	2
%	26,2	1
%	26,6	2
%	26,8	1
%	28	1
%	3,2	1
%	3,62	1
%	30	3
%	31	1
%	33,5	1
%	33,8	1
%	35	1
%	38	1
%	38'3	1
%	38,8	1
%	39,3	1
%	4	1
%	4,14	1
%	40,2	1
%	41	1
%	43	2
%	43,1	1
%	453	2
%	46	2
%	46,7	1
%	49	3
%	49,9	2
%	5	2
%	5'1	1
%	5,2	1
%	5,4	1
%	5,7	1
%	5,90	2
%	50	6
%	50,9	1
%	51	1
%	52	1
%	56	1
%	56,4	1
%	58	1
%	58,4	1
%	6	1
%	6,1	1
%	60	2
%	66	2
%	67	1
%	7	2
%	7,29	1
%	7,5	1
%	70	3
%	73	1
%	75	2
%	77'7	1
%	8	1
%	8'4	1
%	8'5	2
%	8,30	1
%	80	1
%	82	1
%	82,4	1
%	83	1
%	86,6	1
%	86,9	2
%	88,1	1
%	88,2	1
%	89	2
%	89,1	1
%	9,9	1
%	90	1
%	91	1
%	91,3	1
%	92,6	1
&	Trepax	1
'	'	43
'	0	2
'	100	2
'	1976	1
'	50	2
'	Adriana	2
'	Agenda	4
'	Aigua-Terra-Aire	2
'	Albinyana	2
'	Amor	8
'	Antoni	2
'	Ariel	2
'	Assedo	2
'	Assentaments	2
'	Atlàntic	4
'	Auto	2
'	Balalaika	2
'	Barcelona	6
'	Big	2
'	Bitjoc	2
'	Bocatto	2
'	Bufa	1
'	Cambio	2
'	Caras	2
'	Carregat	2
'	Casablanca	2
'	Cassola	2
'	Castell	4
'	Catalans	4
'	Catalunya	5
'	Chispa	2
'	Cocoduro	2
'	Coll	4
'	Comarques	2
'	Comix	2
'	Compradors	2
'	Coneixent	6
'	Congrés	2
'	Contra	2
'	Costa	4
'	Covivencia	2
'	Cristal·lització	2
'	Cròniques	4
'	Cursos	4
'	Còctel	2
'	DNI	2
'	Declaració	2
'	Destino	2
'	Diccionari	2
'	Dies	6
'	Divertir	2
'	Dones	2
'	Douche	2
'	Drop	2
'	Dècimes	2
'	ERC	1
'	Easton	2
'	Educació	2
'	Efectes	2
'	Eivissa	2
'	El	35
'	Els	12
'	Embassaments=	2
'	Epidemiologia	1
'	Eròtica	2
'	Escola	2
'	Espai	2
'	Estació	4
'	Estoy	2
'	Europa	1
'	Ever	2
'	Everest	2
'	Festeig	4
'	Fra	1
'	Galceran	1
'	Gaudí	2
'	Generalitat	1
'	Gimlet	2
'	Glossari	2
'	Govern	1
'	Granja	2
'	Guies	2
'	Independent	2
'	Informe	4
'	Jacint	2
'	Jesús	6
'	Joan	4
'	Jornades	2
'	L'	14
'	La	48
'	Laberint	2
'	Les	6
'	Lili	2
'	Lous	2
'	Manresa	2
'	Medi	2
'	Metropol	2
'	Minerva	2
'	Ministeri	1
'	Misteri	2
'	Modes	2
'	Moianès	4
'	Moments	2
'	Moreneta	2
'	Muts	2
'	Més	2
'	Nadal	2
'	Nandes	2
'	Negro	4
'	New	2
'	Nit	2
'	Notícies	2
'	Operación	4
'	Original	2
'	Pantalles	2
'	Panteix	2
'	Parlo	2
'	Passages	2
'	Passejant	2
'	Pensem	2
'	Pirineus	2
'	Pla	1
'	Pluja	4
'	Pont	2
'	Present	4
'	Primeras	2
'	Pròtesi	4
'	Quadern	2
'	Quan	2
'	Quants	2
'	Quatre	2
'	Remot	2
'	Retrospectiva	2
'	Romeo	2
'	Royal	2
'	Sauna	2
'	Sea	2
'	Senyoria	4
'	Seur	2
'	Signes	6
'	Silver	1
'	Sinopsis	2
'	Sitges	2
'	Sustain	2
'	T'	2
'	Tabernae	2
'	Tardor	2
'	Temps	4
'	Tensió	1
'	Teranyina	2
'	Testimonis	2
'	The	12
'	Tiempo	2
'	Treball	6
'	Tècniques	2
'	Un	2
'	Underworld	2
'	Viatge	4
'	Voleriana	4
'	Víctor	2
'	Web	2
'	World	2
'	Yelow	2
'	Zapatares-Llamazero	2
'	a	2
'	abandonament	1
'	abast	1
'	abastar	2
'	acabar	2
'	accedir	1
'	acceptable	2
'	aconseguir	4
'	actitud	2
'	actuació	2
'	actualment	2
'	actuar	1
'	acudir	2
'	acusació	1
'	acusar	1
'	ad	6
'	admetre	2
'	administració	1
'	adoptar	2
'	afavorir	1
'	afecte	2
'	afegir	1
'	afirmar	1
'	agredir	1
'	aigua	2
'	així	3
'	això	2
'	ajudar	2
'	ajuntament	2
'	alarmista	2
'	alimentar	2
'	allunyar	2
'	allò	1
'	ambigüitat	2
'	amic	4
'	amuntegament	1
'	anar	9
'	antecedent	2
'	antitransvasament	2
'	any	2
'	aparentar	2
'	aplicació	1
'	aposta	2
'	aprofitar	1
'	apropar	2
'	aprovat	1
'	aquest	2
'	arribar	1
'	arrossegar	2
'	artificial	2
'	assignar	2
'	assumir	1
'	atribuir	1
'	aturar	1
'	avançar	3
'	avançat	2
'	b	2
'	baixar	3
'	banalitzar	4
'	batalla	2
'	bo	2
'	buscar	2
'	bypass	2
'	bé	2
'	cabre	1
'	caldre	25
'	caminar	2
'	candidat	1
'	canvi	4
'	canviar	4
'	cançons	2
'	caos	2
'	capdavanter	2
'	car	1
'	carinyo	2
'	caràcter	2
'	castell	2
'	catalanisme	3
'	català	2
'	celebrar	2
'	centrar	1
'	cessió	1
'	cintura	1
'	clar	2
'	clau	2
'	col·laboració	1
'	col·locar	2
'	començar	4
'	comparsa	2
'	complir	4
'	comprometre	2
'	comptar	1
'	comunicació	1
'	conegut	1
'	confirmar	2
'	conflictivitat	1
'	conjunt	2
'	consciència	2
'	consell	4
'	conservar	1
'	considerar	3
'	consistir	1
'	constar	2
'	constel·lació	2
'	constructiu	2
'	consum	2
'	contemplar	5
'	continuació	1
'	contribuir	2
'	contundent	2
'	convençut	1
'	convocar	2
'	coordinació	2
'	cop	4
'	corresponsabilitat	2
'	cosa	3
'	costar	2
'	creació	1
'	crear	1
'	creixement	2
'	creure	2
'	curts	2
'	curós	3
'	córrer	2
'	davallada	2
'	decisió	1
'	declarar	2
'	defensa	1
'	defensar	5
'	deixar	3
'	demanar	4
'	demostrar	5
'	demòcrata	2
'	dent	2
'	denunciar	3
'	dependre	2
'	derivar	2
'	desenvolupament	2
'	desgovern	2
'	desig	2
