Prec	Seq	Count
%	DPH	1
%	HDP	2
%	HNP	2
%	Němec	1
%	a	21
%	akcie	3
%	avšak	1
%	až	1
%	benzín	1
%	být	3
%	celkový	1
%	celý	1
%	cena	1
%	ceníkový	1
%	cesta	1
%	další	1
%	daň	2
%	denně	1
%	diferencovaně	1
%	dlouhodobý	1
%	dluhopis	1
%	do	1
%	domácnost	1
%	dospělý	1
%	drahý	2
%	dále	1
%	energie	2
%	export	1
%	fond	1
%	hodnota	1
%	hodně	1
%	hrubý	1
%	jít	2
%	k	1
%	kapitál	1
%	kdežto	1
%	klíště	1
%	konec	1
%	kupónový	1
%	lehký	1
%	letecký	1
%	lze	1
%	majetek	2
%	manažer	1
%	marže	1
%	mezi	1
%	moci	1
%	motorový	1
%	málo	1
%	mít	3
%	na	4
%	nadační	1
%	nebo	1
%	nemoc	1
%	nový	1
%	objem	2
%	obsahovat	1
%	obyvatel	2
%	on	1
%	osoba	1
%	platnost	1
%	podhodnocený	1
%	podíl	1
%	polotovar	2
%	porucha	1
%	pořizovací	1
%	prezident	1
%	produkce	2
%	prohlubovat	1
%	proti	3
%	provize	1
%	přičemž	1
%	případně	1
%	původní	1
%	respektive	1
%	restituční	1
%	ročně	3
%	sleva	1
%	snížení	2
%	spotřeba	1
%	takže	1
%	tehdejší	1
%	tj	1
%	tvořený	1
%	těžký	1
%	uchazeč	1
%	už	1
%	v	17
%	veškerý	2
%	vláda	1
%	vydražený	1
%	vyrobený	1
%	vysoký	1
%	vyvolávací	1
%	všechen	1
%	z	6
%	zaváděcí	1
%	zbytek	1
%	základní	3
%	získat	1
%	zůstat	1
%	úrok	1
%	ředitel	1
%	Švéd	1
+	100	1
+	2	2
+	AT	1
+	Ameritech	1
+	Bell	1
+	Handwerk	1
+	Reinders	1
+	Service	1
+	Swiss	1
+	fax	29
-30	°	1
/	4	1
/	hodina	1
0	0	4
0	1	2
0	2	1
0	3	1
0	4	1
0	5	1
0	Rusko	1
0	a	1
0	branka	1
0	mínit	1
0	nad	1
0	potvrdit	1
0	slovenský	1
0	Čína	1
0	Říčany	1
0.05	až	1
0.2	až	1
0.25	l`litr	1
0.3	%	1
0.3	procento	2
0.30	úvazek	1
0.34	Kč	1
0.46	Kč	1
0.5	%	1
0.6	%	1
0.65	%	1
0.7	%	1
0.8	%	1
0.8	procento	1
0.92	Kč	1
0.92	x	1
00	357	1
00	395111	1
00	Brno	3
00	Olomouc	1
00	Ostrava	2
00	Praha	56
001	514	1
00361	263	2
01	1994	1
01	3	1
01	76	1
01	78	1
01	93	1
01	Cheb	1
01	Jihlava	1
01	Jilemnice	1
01	Krnov	1
01	Litoměřice	1
01	Mělník	1
01	Nitra	1
01	Praha	2
01	Trenčín	1
01	informace	1
01	nový	2
01	telex	1
01	v	1
01	Šumperk	1
0100	komerční	1
0100	variabilní	1
0106	fax	1
011	32	1
019	220745	1
02	220922	1
02	231	12
02	232	10
02	236	1
02	24	5
02	241183	1
02	242	5
02	2422	1
02	242236	1
02	242267	1
02	242282	1
02	2431	2
02	243113	1
02	2451	2
02	248103	3
02	251474	1
02	256496	1
02	256889	1
02	261	1
02	261063	1
02	263	1
02	266937	1
02	267084	1
02	27	2
02	275789	1
02	278514	1
02	278613	1
02	291261	2
02	291591	1
02	294022	2
02	325630	1
02	371043	1
02	371351	1
02	372300	2
02	422026	2
02	471	1
02	472	1
02	523674	3
02	5296	2
02	543247	1
02	627	18
02	664100	1
02	664102	1
02	683	2
02	691	2
02	73	3
02	761212	1
02	795	1
02	Hradec	6
02	Lovosice	1
02	Praha	2
020	32	1
0202	91997	2
0202	92150	1
0202	92151	3
0205	245	2
0205	83155	1
021	0100	2
02732	70545	2
03	Hradec	1
03	fax	2
03	telex	1
0321	228	1
038	370	1
038	861208	1
04	podat	1
04	zaslat	1
040	511457	1
0416	3927	1
0416	4057	1
0417	204	1
0417	323206	1
0419	2625	1
0432	3206	1
0439	932210	1
0439	934321	1
0439	934337	1
0441	8896	1
0451	520	1
0451	522	1
047	265	1
047	273	1
048	248	1
048	297	1
049	237	1
049	301	1
049	315	4
049	31564	1
049	33157	1
049	350	1
049	391	1
05	382034	1
05	4121	2
05	412148	1
05	413212	1
05	421341	1
05	4321	2
05	45	2
0502	38	1
0502	94326	1
0508	26058	1
0508	26511	1
06	364	1
06	Praha	3
06	fax	1
0649	842	1
065	557	1
0652	20	1
0652	31	1
0656	207	2
0656	237	1
0656	240	1
0656	249	2
0656	91225	1
0658	92715	1
066	222	2
066	257	1
068	31257	2
068	33446	1
068	33466	1
068	522	3
069	23	2
069	37	2
069	501	1
069	561	1
069	611	2
069	628	1
069	662	2
0825	2549	1
0825	424	1
0831	356	1
0831	395204	1
