Head_Lemma	Dep_Lemma	Relation	Count
%	%	conj	1
%	%	orphan	1
%	1	nummod	2
%	10	nummod	1
%	100	nummod	1
%	12	nummod	2
%	15	nummod	2
%	16	nummod	1
%	18	nummod	1
%	19	conj	1
%	2	nummod	5
%	20	nummod	2
%	20	obl	1
%	23	obl	2
%	25	nummod	2
%	26	nummod	1
%	27	conj	1
%	3	nummod	3
%	30	nummod	1
%	4	nummod	2
%	40	nummod	1
%	5	nummod	3
%	50	nummod	1
%	50	obl	1
%	51	nummod	1
%	538	obl	1
%	55	nummod	1
%	60	nummod	1
%	70	nummod	3
%	8	nummod	1
%	80	nummod	1
%	90	nummod	1
%	HDP	nmod	2
%	HNP	nmod	2
%	Němec	nmod	1
%	a	cc	1
%	akcie	nmod	3
%	akcionář	conj	1
%	asi	nmod	1
%	až	advmod	1
%	cca	advmod	1
%	cena	nmod	9
%	další	amod	1
%	denně	advmod	1
%	dluhopis	nmod	1
%	do	case	4
%	domácnost	nmod	1
%	díky	case	1
%	energie	nmod	1
%	fond	conj	2
%	fond	orphan	1
%	hodnota	nmod	4
%	i	advmod	1
%	jak	mark	1
%	jen	advmod	1
%	jenž	nmod	1
%	jmění	nmod	1
%	kapitál	conj	1
%	kapitál	nmod	2
%	klíště	nmod	1
%	kolem	case	3
%	konec	nmod	1
%	majetek	nmod	2
%	manažer	nmod	1
%	maximálně	advmod	1
%	mezi	case	1
%	moci	orphan	1
%	na	case	1
%	o	case	4
%	objem	nmod	2
%	obrat	nmod	1
%	obyvatel	nmod	2
%	obyvatelstvo	nmod	1
%	okolo	case	2
%	on	nmod	2
%	osazenstvo	nmod	1
%	osoba	nmod	1
%	plat	nmod	1
%	platnost	conj	1
%	po	case	1
%	podíl	nmod	1
%	populace	nmod	1
%	produkce	nmod	2
%	produkt	nmod	1
%	provize	nmod	1
%	přírůstek	nmod	1
%	restituční	orphan	1
%	rok	nmod	3
%	ročně	advmod	3
%	sleva	nmod	1
%	snížení	nmod	1
%	spotřeba	nmod	1
%	svůj	det	1
%	tj	cc	1
%	turista	nmod	1
%	téměř	advmod	1
%	třeba	advmod	1
%	u	case	1
%	uchazeč	nmod	1
%	v	case	5
%	z	case	5
%	zabezpečení	orphan	1
%	zboží	nmod	1
%	úhrn	nmod	1
%	úrok	dep	1
%	částka	nmod	2
%	ředitel	nmod	1
%	Švéd	nmod	1
0	0	conj	3
0	1	conj	1
0	2	conj	1
0	3	compound	1
0	4	conj	1
0	5	conj	1
0	set	nmod	1
0	z	case	1
0.05	0.1	conj	1
0.1	až	cc	1
0.2	%	nmod	1
0.2	0.3	conj	1
0.2	na	case	1
0.3	až	cc	1
0.3	pouze	advmod	1
0.3	procento	nmod	1
0.34	1.50	orphan	1
0.34	Kč	nmod	1
0.34	voda	orphan	1
0.46	Kč	nmod	1
