Dep_Lemma	Head_Lemma	Count
%	%	2
%	0.2	1
%	0.5	1
%	0.6	1
%	0.65	1
%	0.7	1
%	0.8	1
%	1	1
%	1.2	1
%	1.5	1
%	1.6	1
%	1.8	1
%	10	7
%	10.0	1
%	10.3	1
%	10.5	1
%	100	4
%	11.9	1
%	120	1
%	13	1
%	13.5	1
%	13.7	1
%	15	11
%	15.0	1
%	15.75	1
%	16.6	1
%	17	1
%	18	2
%	19	1
%	2	2
%	2.1	1
%	2.2	1
%	2.25	1
%	20	8
%	22	2
%	23	1
%	24	2
%	25	3
%	26	3
%	27	1
%	3	2
%	3.5	1
%	3.9	1
%	30	11
%	33	1
%	34	1
%	35	3
%	36	2
%	36.5	1
%	38	1
%	4	1
%	4.1	1
%	4.5	2
%	4.7	1
%	40	2
%	42	1
%	43	1
%	44.5	1
%	5	5
%	5.0	3
%	5.2	2
%	5.7	1
%	5.8	1
%	50	10
%	51	1
%	55	2
%	56	1
%	6	6
%	6.2	1
%	6.3	1
%	61	1
%	62.8	1
%	7	1
%	7.5	3
%	7.84	1
%	70	5
%	73	1
%	75	4
%	75.5	1
%	8	1
%	8.47	1
%	8.7	3
%	80	2
%	85	1
%	87	1
%	9	1
%	9.0	1
%	9.8	1
%	90	2
%	95	2
%	DPH	1
%	HDP	1
%	Němec	1
%	být	4
%	daň	1
%	dokončený	1
%	dosáhnout	2
%	hodně	3
%	jít	1
%	klesnout	1
%	marže	2
%	milión	1
%	míra	1
%	mít	1
%	obec	1
%	odpovídající	1
%	odvoz	1
%	oprava	1
%	patřit	1
%	platit	1
%	podílet	1
%	pohybovat	1
%	pohybující	1
%	pokuta	1
%	poplatek	1
%	pět	1
%	přehled	1
%	rozmezí	1
%	sleva	1
%	snížení	1
%	snížený	1
%	tempo	1
%	tvořený	1
%	vidět	2
%	výše	1
%	zaměstnaný	1
%	začínat	1
%	zisk	1
%	zjištěný	1
%	zvýšit	2
%	získat	1
%	úspora	1
*	haló	1
*	jaký	1
*	jistota	1
+	100	1
+	2	2
+	AT	1
+	Ameritech	1
+	Atlantic	1
+	Handwerk	1
+	Reinders	1
+	Service	1
+	Telecom	1
+	fax	29
-30	°	1
/	1	1
/	km`kilometr	1
0	0	3
0	1	3
0	10	1
0	16	2
0	2	3
0	3	2
0	4	3
0	82	1
0	Cheb	1
0	Německo	1
0	prohrát	3
0	prohrávat	1
0	souřadnice	1
0	zmrtvýchvstání	1
0	číslo	1
0.05	činit	1
0.1	0.05	1
0.2	trend	1
0.25	l`litr	1
0.3	0.2	1
0.3	podílet	1
0.3	procento	1
0.30	úvazek	1
0.34	voda	1
0.46	stát	1
0.5	plyn	1
0.6	Británie	1
0.65	oslabit	1
0.7	Německo	1
0.8	pohybovat	1
0.8	procento	1
0.92	=	1
0.92	stát	1
00	101	3
00	110	18
00	118	2
00	120	4
00	130	21
00	140	3
00	141	1
00	142	1
00	149	1
00	160	2
00	170	1
00	222	1
00	356	2
00	602	1
00	617	1
00	623	1
00	701	1
00	709	1
00	772	1
00	984	1
001	telefon	1
00361	fax	1
00361	telefon	1
01	110	1
01	158	1
01	2451	1
01	276	1
01	350	1
01	364	1
01	37	2
01	370	1
01	412	1
01	514	1
01	521	1
01	586	1
01	741	2
01	787	1
01	794	1
01	911	1
01	949	1
01	pošta	1
01	výměr	1
0100	021	2
0106	231	1
011	Žilina	1
019	telefon	1
02	165	1
02	171	1
02	410	1
02	500	6
02	fax	31
02	telefon	77
020	Púchov	1
0202	fax	3
0202	telefon	3
0205	fax	1
0205	telefon	2
021	24035	1
021	číslo	1
02732	43	2
03	248	1
03	273	1
03	350	1
03	424	1
03	501	1
0321	telefon	1
038	telefon	2
0394	627	1
04	Schalke	2
040	telefon	1
0416	fax	1
0416	telefon	1
0417	fax	1
0417	telefon	1
0419	telefon	1
0432	telefon	1
0439	fax	1
0439	telefon	2
0441	telefon	1
0451	fax	1
0451	telefon	1
047	telefon	2
048	fax	1
048	telefon	1
049	fax	2
049	telefon	8
05	20	1
05	fax	2
05	informace	1
05	telefon	7
0502	fax	1
0502	telefon	1
0508	fax	1
0508	telefon	1
06	150	3
06	364	1
06	92	1
0649	telefon	1
065	telefon	1
0652	fax	1
0652	telefon	1
0656	fax	3
0656	telefon	4
0658	telefon	1
066	fax	1
066	telefon	2
067	65	1
068	fax	3
068	telefon	4
069	fax	3
069	telefon	8
0825	fax	1
0825	telefon	1
0831	fax	1
0831	telefon	1
087	fax	1
087	telefon	1
089	fax	1
089	telefon	1
09	59	1
09	87	1
09	91	2
1	%	2
1	0	1
1	1	4
1	1143	1
1	12	1
1	2	3
1	3	15
1	300	1
1	4	3
1	5	2
1	6	3
1	7	1
1	=	1
1	D	1
1	LN	2
1	Lotus	1
1	Lupáčov	1
1	Meridian	1
1	N	1
1	Německo	1
1	Olšanský	1
1	Ostrava	2
1	PF	2
1	Praha	40
1	Rusko	1
1	a	1
1	bod	3
1	byt	1
1	březen	3
1	cm`centimetr	1
1	den	1
1	duben	5
1	f	1
1	formule	3
1	hodně	1
1	kWh`kilowatthodina	2
1	kg`kilogram	1
1	kolo	4
1	kopírování	1
1	kurs	1
1	květen	6
1	leden	10
1	m`metr	1
1	možný	1
1	nyní	1
1	náměstí	1
1	obrázek	1
1	odstavec	2
1	odstranění	1
1	omezit	1
1	pivovarský	1
1	platit	1
1	pololetí	1
1	polovina	3
1	porazit	1
1	pořadí	1
1	procento	1
1	prohra	1
1	projekt	1
1	prosinec	1
1	právo	1
1	příčka	1
1	remíza	1
1	reorganizovat	1
1	rok	3
1	rozhodnout	1
1	samcův	4
1	set	1
1	společnost	1
1	sprcha	2
1	srpen	1
1	stav	1
1	svolávat	1
1	tuna	1
1	třída	2
1	urazit	1
1	vana	1
1	vesmír	1
1	vlna	2
1	voda	1
1	vodnář	1
1	vyhrát	1
1	výhra	2
1	x	1
1	závislý	1
1	září	5
1	únor	3
1	ČT	1
1	červen	1
1	červenec	6
1	číslo	3
1	říjen	1
1.1	miliarda	1
1.15	milión	1
1.2	miliarda	2
1.2	vzrůst	1
1.25	miliarda	1
1.3	tuna	1
1.30	velký	1
1.36	ztráta	1
1.38	=	1
1.38	ušetřit	1
1.4	milión	1
1.4	zvýšení	1
1.5	1	1
1.5	budovat	1
1.5	miliarda	2
1.5	milión	1
1.5	mít	1
1.5	procento	1
1.5	prodávat	1
1.5	představovat	1
1.5	vynaložený	1
1.5	výše	1
1.5	řádkování	1
1.50	0.34	1
1.6	1	1
1.6	miliarda	3
1.6	motor	1
1.6	vynakládat	1
1.69	miliarda	1
1.7	miliarda	1
1.7	procento	1
1.70	sazba	1
1.8	1.2	1
1.8	1.6	2
1.8	procento	1
1.80	1.70	1
1.84	sprcha	1
1.9	diesel	1
10	%	1
10	2	2
10	22	1
10	3	3
10	5	5
10	7	1
10	8	3
10	9	3
10	B	1
10	Ceramitec	1
10	Herrengasse	1
10	INFRA	1
10	München	1
10	Praha	4
10	Sokol	1
10	Systec	1
10	agentura	1
10	být	1
10	březen	1
10	chybět	1
10	chůze	1
10	dohodnout	1
10	forint	1
10	golf	1
10	hlava	1
10	hluk	1
10	hmyz	1
10	hodně	2
10	jídlo	1
10	klatovský	1
10	klesnout	1
10	l`litr	1
10	leden	2
10	miliarda	3
10	milión	4
10	mít	1
10	měsíc	1
10	nabídnout	1
10	nádobí	1
10	náměstí	1
10	obrázek	2
10	padat	1
10	podání	1
10	pracovat	1
10	procento	5
10	program	2
10	průměr	1
10	pták	1
10	přinést	1
10	rok	4
10	ročník	1
10	rybníček	1
10	rychlost	1
10	rychlík	1
10	samoobsluha	1
10	sekunda	2
10	stravování	1
10	stránka	1
10	stupeň	2
10	téci	1
10	třída	1
10	ulička	1
10	voršilský	1
10	vysoký	1
10	vytlačit	1
10	výhra	1
10	výpis	1
10	začínat	1
10	ztrojnásobit	1
10	zvát	1
10	září	3
10	člověk	1
10	říjen	2
10.0	8.7	1
10.0	9.0	1
10.0	Itálie	1
10.0	procento	1
10.00	9	1
10.00	být	1
10.00	pošta	1
10.3	vzrůst	1
10.5	procento	1
10.5	tvořit	1
10.5	činit	1
10.6	10.0	1
100	%	1
100	30	1
100	300	1
100	5	1
100	70	1
100	Kč	2
100	MW`megawatt	1
100	Otvovice	1
100	adresát	1
100	arch	1
100	dovolovat	1
100	délka	1
100	forint	1
100	hodnota	2
100	hodně	1
100	jméno	1
100	klesnout	1
100	kontrolovaný	1
100	koruna	1
100	kus	1
100	motor	1
100	mít	1
100	obdržet	1
100	odrážet	1
100	pokuta	1
100	porazit	1
100	prémie	3
100	přijít	1
100	rok	1
100	ventil	1
100	vyrobit	1
100	vyskočit	1
100	vzniknout	1
100	zdražit	1
100	zásobník	1
100	číslo	1
1000	800	1
1000	Kč	2
1000	bod	1
1000	cena	1
1000	dítě	1
1000	funkcionář	1
1000	hodnota	1
1000	hodně	1
1000	koruna	2
1000	lékař	1
1000	obrázek	1
1000	výše	1
1000	x	1
1000	žádost	1
10000	Kč	1
10000	cena	1
10000	koruna	1
10000	osoba	1
10000	uprchlík	2
10000	vozidlo	1
100000	Kč	1
100000	byt	1
100000	hlas	1
100000	koruna	2
100000	marka	1
100000	pojištěnec	1
100000	poutník	1
100000	práce	1
100000	tvrdit	1
100000	zvýšení	1
100000	útrata	1
100000	člověk	1
100000	částka	2
1000000	částka	1
10006	číslo	1
1001	roztocký	1
1002	rybářství	1
10055	letos	1
101	Praha	3
101	procento	1
1020	dolar	1
1020	klesnout	1
1021	horník	3
103	pražský	1
105	strana	1
1054	Vansová	1
106	milión	1
106	strana	1
10600	byt	1
107	strana	1
1076	795	1
1079	člověk	1
108	milión	1
109	linka	1
1095	31	1
1098	rok	1
11	10	3
11	421341	1
11	460	1
11	7	1
11	772	1
11	D	1
11	Elektronica	1
11	Heim	1
11	Option	1
11	březen	1
11	dodat	1
11	domažlický	2
11	hodina	2
11	miliarda	3
11	milión	1
11	ministr	1
11	minuta	2
11	narozený	1
11	partie	1
11	procento	1
11	republika	1
11	rok	1
11	upravit	1
11	zdolat	1
11	zápas	1
11	závod	1
11	červenec	1
11	číslo	2
11.0	10.5	1
11.00	doba	1
11.00	přestávka	1
11.30	hodina	2
11.38	představovat	1
11.7	procento	1
11.9	klesnout	1
110	22	1
110	Praha	22
110	milión	2
110	osoba	1
110	případ	1
1100	4132	1
1100	hodnota	1
1100	metr	1
1100	tisíc	1
11000	host	1
11000	on	1
11000	zaměstnanec	1
110390	cena	1
1106	druh	1
111	365	1
111	kongres	1
111	koruna	1
1110	upravený	1
1111	391	1
112	Praha	2
112	číslo	1
113	350	1
1143	Ena	1
115	430	1
115	muset	1
115	počet	1
115	přihrádka	1
1150	člověk	1
11520	7680	1
1160	kus	1
1167	českolipský	1
1176	článek	1
1178	62.8	1
118	Praha	2
12	%	2
12	10	5
12	11	2
12	2	1
12	21	1
12	241183	1
12	3	1
12	326	1
12	4	3
12	5	1
12	6	4
12	644	1
12	8	2
12	9	1
12	Hus	1
12	Mikuláš	1
12	Sokol	1
12	UB	1
12	agent	1
12	den	1
12	dvoupokojový	1
12	eso	1
12	hodně	1
12	jeruzalémský	1
12	já	1
12	jáma	1
12	koruna	1
12	kozoroh	1
12	linka	1
12	milión	2
12	motocykl	1
12	měsíc	3
12	norský	3
12	osoba	1
12	plocha	1
12	příloha	1
12	rok	1
12	rozšířit	1
12	rychlost	2
12	splácet	1
12	stanice	1
12	století	1
12	strana	3
12	stupňový	1
12	vydražený	1
12	výkon	1
12	vůz	1
12	červenec	1
12	číslo	1
12	Řásnovka	3
12	říjen	1
12.0	13.7	1
12.0	15.0	1
12.2	procento	1
12.30	8.30	1
120	30	1
120	Praha	4
120	dodávka	1
120	kilometr	1
120	l`litr	1
120	místo	1
120	strana	1
120	tuna	1
120	uprchlík	1
120	x	1
120	zvětšení	1
1200	přijít	1
12000	9000	1
12000	koruna	1
120000	koruna	1
1209	koruna	1
121	127	1
12125	19397	1
122	výhra	1
1220	Kč	1
1221	akcie	1
1225	koruna	1
123	129	1
1232	Science	1
124	hl`hektolitr	1
124000	tuna	1
125	báth	1
125	klatovský	1
125	milión	1
125	motocykl	1
1250	vzrůst	1
125000	přepravit	1
125000	snížit	1
1254	absolvent	1
1259	rok	1
12600	činit	1
127	stát	1
127	zvítězit	1
127.46	účtovat	1
128	139	1
128	kamera	1
128	většina	1
129	absolvent	1
129	lis	1
129	vítězství	1
13	10	1
13	12	2
13	222	1
13	23	1
13	5	1
13	7	1
13	85	1
13	86	1
13	Milíčův	15
13	březen	1
13	duben	1
13	dělat	1
13	hodina	2
13	kilometr	1
13	místo	1
13	napočítat	1
13	náměstí	1
13	ordinace	1
13	palác	1
13	procento	2
13	projekt	1
13	vinice	1
13	vojtěšský	1
13	země	1
13	činit	1
13	říjen	1
13.00	hodina	1
13.30	začít	1
13.5	rozmezí	1
13.7	Itálie	1
13.9	procento	2
130	Praha	22
130	kilometr	1
130	koruna	1
130	miliarda	2
130	rok	1
130	strana	1
130	země	1
130	účastník	1
1300	elektrárna	1
1300	turbína	1
13000	koruna	1
131	milión	1
1312000	auto	1
13123	popílek	1
132	4	1
1320	l`litr	1
13200	forint	1
1326	rok	1
1348	duben	1
135	rozvojový	1
135	země	1
1350000	koruna	1
1365	10	1
136725	počet	1
137	platit	1
137.10	být	1
137.10	opatření	1
138	ustanovení	1
138	člověk	1
1380	920	1
139	vyhrát	1
14	1	1
14	1.5	1
14	10	1
14	11	1
14	13	1
14	2	2
14	662	1
14	7	1
14	8	1
14	85	1
14	Glodowska	1
14	H	1
14	Sokol	1
14	branka	1
14	březen	1
14	dekaboran	1
14	den	5
14	druh	1
14	hodina	1
14	květen	1
14	let	1
14	letadlo	1
14	milión	3
14	procento	4
14	provozovna	1
14	rozmezí	1
14	srpen	2
14	třída	1
14	veletrh	1
14	vzrůst	1
14	vůz	1
14	°	1
14	únor	1
14	číslo	2
14	říjen	1
14.00	26	1
14.00	odpoledne	1
14.3	stupeň	1
14.50	hodina	1
140	120	1
140	Praha	3
140	krát	1
140	člověk	1
1400	850	1
14000	koruna	1
140000	člověk	1
1404000	koruna	1
141	70545	1
141	Praha	1
141	tuna	1
142	70545	1
142	Praha	1
1427	stát	1
1428	4121	1
14297	silnice	1
143	den	1
1441	h	1
1451	den	1
146	číslice	1
147	miliarda	1
149	Praha	1
149	nakupovat	1
1498	2431	1
15	%	2
15	10	6
15	11	1
15	110	3
15	12	3
15	19.00	1
15	2	1
15	3	1
15	37	1
15	5	3
15	8	2
15	96	1
15	D	1
15	Legerův	2
15	Rakušan	1
15	Rosset	1
15	být	2
15	březen	1
15	chybět	1
15	den	3
15	hodnota	1
15	kamión	1
15	květen	2
15	letý	1
15	metr	1
15	miliarda	1
15	milión	1
15	moci	1
15	mít	2
15	měsíční	1
15	on	1
15	podnik	1
15	procento	3
15	průměr	1
15	rok	3
15	rozmezí	1
15	rychlost	4
15	soudce	1
15	stoupnout	2
15	strana	1
15	ten	1
15	vesmír	2
15	věk	1
15	zdaněný	1
15	zraněný	1
15	zvýšit	1
15	září	1
15	únor	1
15	úrok	1
15	červen	1
15	červenec	1
15	člověk	1
15.0	Itálie	1
15.00	divadlo	1
15.4	linka	1
15.75	13.5	1
150	OF	1
150	Praha	4
150	den	1
150	dosahovat	1
150	kamión	1
150	kilometrový	1
150	metr	1
150	milión	1
150	místo	2
150	naznačovat	1
150	pozdě	1
150	tisíc	2
150	zákazník	1
1500	Vydra	1
1500	auto	1
1500	kus	1
1500	pacient	1
1500	večeře	1
15000	Kč	1
15000	auto	1
15000	automobil	1
15000	marka	1
150000	vízum	1
150119	milión	1
151	vystavovatel	1
151	§	1
152	parovod	1
152	říjen	1
154731	Kč	1
1555	2431	1
1574	autobus	1
158	414.5	1
158	Praha	1
15837	milión	1
15892	koruna	1
159	l	10
159	vysoký	1
16	%	1
16	12	1
16	14	3
16	16	1
16	27	1
16	38	1
16	78	3
16	FW	1
16	Vyškov	1
16	březen	2
16	f	2
16	hodně	1
16	miliarda	1
16	možnost	1
16	odstín	1
16	on	1
16	podepisovat	1
16	předvolba	1
16	rok	1
16	schránka	1
16	set	1
16	skóre	1
16	století	1
16	strana	1
16	stupeň	5
16	veletrh	1
16	velký	1
16	znak	3
16	závodník	1
16	září	1
16	únor	2
16	číslo	3
16	říjen	2
16.00	9	1
16.12	obchodování	1
16.30	9	1
16.30	být	1
16.6	být	1
16.73	koruna	1
160	150	1
160	PSČ	1
160	Praha	2
160	vyjít	1
160	vysoký	1
16000	Kč	1
16000	oběť	1
165	Praha	1
165	číslo	1
1650	Kč	1
1651	březen	1
166237	Kč	1
1672	výhra	1
17	12	3
17	15	1
17	17	1
17	2	2
17	21	1
17	3	1
17	365	1
17	5	2
17	658	1
17	Praga	1
17	TJ`terajoul	1
17	Zlín	1
17	benzín	1
17	hodina	3
17	listopad	6
17	milión	1
17	poříčí	3
17	procento	1
17	rok	2
17	sokolovský	1
17	století	1
17	stát	1
17	země	1
17	únor	1
17	červen	1
17	člověk	1
17	říjen	1
17.1	miliarda	1
17.30	Jihlava	1
17.30	pořádat	1
17.30	vystoupit	1
17.5	milión	1
17.5	tisíc	1
170	Praha	1
170	dlouhý	1
170	dělník	1
170	milión	1
170	přihrádka	1
170	stroj	1
1700	Ligna	1
1700	rok	1
1700	člověk	3
1709	rok	1
1709	červen	1
171	Praha	1
172	paragraf	1
172	zákon	2
1722	pracovník	1
1738	titul	1
174	172	1
174	strana	1
1740	koruna	1
175	milión	2
175	měřit	1
1760	pracovník	1
1768	ten	1
1770	rok	1
178	milión	1
178	snížit	1
1786	rok	1
179	ohrožení	1
1790	261	1
1799	Medicine	1
18	%	1
18	11	1
18	17	2
18	2451	1
18	5	1
18	Pavelkův	2
18	březen	1
18	duben	1
18	hlava	1
18	hodina	3
18	import	1
18	m	1
18	mandát	1
18	milión	1
18	měsíc	1
18	odstavec	1
18	procento	1
18	průměr	1
18	seskupení	1
18	století	1
18	strana	1
18	stroj	1
18	stupeň	1
18	týden	5
18	urychlit	1
18	znak	1
18	zvýšit	1
18	únor	1
18	červen	1
18	červenec	1
18	číslo	1
18	štěpánský	1
18.00	10.00	1
18.00	klub	1
180	150	1
180	179	1
180	277	1
180	Praha	1
180	cena	1
180	milión	1
180	stupeň	1
1800	hodně	1
1800	zranění	1
18000	zákazník	1
182	283	1
184	emise	1
1844	pracovník	1
1848	hodina	1
1848	rok	1
185	430	1
185	O	1
1850	rok	2
1863	rok	1
1866	rok	1
1873	rok	1
1876	Vítkovice	1
1879	rok	3
1879	říjen	1
1882	únor	1
1886	prosinec	1
1887	výhra	1
1889	vánoce	1
1889	září	1
1889	červen	1
1890	leden	3
1890	rok	1
1890	únor	1
1891	březen	1
1893	březen	1
1893	únor	2
1895	noviny	1
1895	rok	1
1898	rok	1
19	%	1
19	11.00	1
19	16	1
19	2	2
19	24	2
19	4	1
19	43	1
19	53	1
19	6	1
19	9	1
19	Habrmanův	5
19	bod	1
19	březen	1
19	duben	2
19	forint	1
19	leden	1
19	lázně	1
19	mír	1
19	obraz	1
19	procento	2
19	století	7
19	únor	1
19	člen	1
19	číslo	1
19.00	9	1
19.00	dům	1
19.00	konat	1
19.00	přestávka	1
19.20	hodina	2
19.30	Quartet	1
19.30	dům	1
19.30	koncertovat	1
19.30	vyvrcholit	1
1900	rok	2
1907	rok	2
191	cm`centimetr	1
1913	Dominik	1
1914	1876	1
1914	rok	1
1917	rok	1
1918	1	1
1918	červenec	1
1919	Jiří	1
1919	rok	1
1920	rok	2
1920	únor	1
1922	11	1
1924	rok	1
1925	Miroslav	1
1925	rok	2
1926	velikonoce	1
1927	Němec	1
1927	dům	1
1927	rok	2
1928	rok	1
1928	srpen	1
1929	rok	1
1930	únor	2
1931	narozený	1
1935	rok	1
1936	březen	1
1938	rok	4
1939	Jiří	1
1939	rok	4
1939	srpen	2
1939	září	2
19397	SO	1
194	54	1
194	Benetton	1
1940	1938	1
1940	rok	1
194000	litr	1
1941	1919	1
1941	Imrich	1
1941	prosinec	1
1941	rok	1
1941	studovat	1
1942	rok	1
1943	rok	2
1943	září	1
1944	rok	1
1945	1939	1
1945	1943	1
1945	noviny	1
1946	rok	3
1947	Hana	1
1947	září	1
1948	Zdeněk	1
1948	březen	1
1949	sezona	1
1950	Genadij	1
1950	dokončit	1
1951	Václav	1
1952	Jiří	1
1953	rok	2
1955	rebel	1
1956	Vladislav	1
1957	197	1
1958	1953	1
1958	rok	1
1959	rok	2
196	výška	1
1961	rok	2
196155	koruna	1
1962	rok	1
1963	Jiří	1
1963	rok	1
1963	říjen	1
1964	rok	1
1964	červen	1
1964000	stanice	1
1965	František	1
1965	Rony	1
1965	rok	1
1966	cena	1
1966	olej	1
1967	Luke	1
1967	rok	1
1968	1938	1
1968	30	1
1968	Bohdan	1
1968	rok	5
1969	jízda	1
1969	rok	3
1969	štěstí	1
197	vyhláška	1
1970	1969	1
1970	rok	1
1970	země	1
1971	film	1
1971	rok	2
1972	MS	1
1972	rok	1
1972	theory	1
1972	červen	1
1974	rok	2
1975	mít	1
1975	tempera	1
1976	rok	3
1976	ukončit	1
1977	rok	4
1978	květen	1
1978	rok	2
1978	zastávat	1
1979	duben	1
1979	mathematics	1
1979	nyní	1
1979	rok	5
1980	Kaleidoscope	1
1980	rok	2
1980	tempera	1
1981	Ju	1
1981	rok	1
1982	rok	2
1983	1979	1
1983	juniorský	1
1983	rok	2
1984	OH	1
1984	rok	2
1985	březen	1
1985	rok	6
1986	9	1
1986	hráč	1
1986	mysterium	1
1986	rok	2
1986	září	1
1986	říjen	1
1987	54	1
1987	březen	1
1987	rok	3
1987	září	1
1988	194	1
1988	Praha	1
1988	barva	1
1988	rok	4
1988	show	1
1989	1913	1
1989	1988	1
1989	1990	1
1989	listopad	3
1989	prosinec	1
1989	rok	18
1989	rozprava	1
1989	triumfovat	1
1989	září	2
1989	únor	1
1989	úvod	1
199	horkovod	1
1990	1969	1
1990	1989	1
1990	2	1
1990	526	1
1990	Nations	1
1990	Reed	1
1990	listopad	1
1990	místo	1
1990	rok	19
1990	srpen	1
1990	červen	1
1991	12	1
1991	172	2
1991	1989	2
1991	4	1
1991	9	1
1991	Medicine	1
1991	březen	1
1991	listopad	1
1991	prosinec	1
1991	rok	27
1991	rozprava	1
1991	seniorský	1
1991	země	1
1991	únor	1
1992	1	1
1992	1990	1
1992	1991	4
1992	358	1
1992	42	1
1992	431	1
1992	479	1
1992	586	1
1992	591	1
1992	618	1
1992	70	1
1992	92	5
1992	Academia	1
1992	Bratislava	1
1992	Nature	3
1992	News	1
1992	Science	1
1992	cena	1
1992	duben	1
1992	květen	1
1992	listopad	2
1992	pololetí	1
1992	prosinec	1
1992	rok	41
1992	sezóna	1
1992	srpen	1
1992	vesmír	1
1992	září	1
1992	získat	1
1992	říjen	1
1993	1	1
1993	12	1
1993	16.12	1
1993	165	1
1993	18	1
1993	1988	1
1993	1989	2
1993	1991	2
1993	1992	4
1993	2	1
1993	213	1
1993	30	1
1993	315	1
1993	333	1
1993	42	1
1993	47	2
1993	48	1
1993	50	1
1993	51	1
1993	52	2
1993	Británie	1
1993	Nature	2
1993	PMEZ	1
1993	březen	1
1993	duben	3
1993	kruh	1
1993	květen	2
1993	leden	4
1993	pololetí	1
1993	prosinec	8
1993	rok	56
1993	sezóna	1
1993	srpen	1
1993	videohra	1
1993	vzor	1
1993	červen	4
1993	čtvrtletí	1
1993	říjen	1
1993	špendlík	1
1994	01	1
1994	1	1
1994	19	1
1994	2	13
1994	20.1	1
1994	3	10
1994	4	11
1994	5	8
1994	6	6
1994	7	1
1994	8	3
1994	9	4
1994	Girls	1
1994	MS	1
1994	Mnichov	1
1994	Praha	1
1994	Tomáš	1
1994	Trouble	1
1994	USA	1
1994	březen	2
1994	duben	3
1994	květen	3
1994	leden	5
1994	listopad	1
1994	prosinec	2
1994	rok	22
1994	srpen	1
1994	trhák	1
1994	veletrh	1
1994	září	3
1994	únor	7
1994	červen	1
1994500000	koruna	1
1995	1	2
1995	1970	1
1995	1993	1
1995	1994	4
1995	3	1
1995	cup	1
1995	jaro	1
1995	květen	1
1995	leden	2
1995	prosinec	1
1995	rok	9
1995	únor	1
1995	červen	1
1995	červenec	2
1996	3	1
1996	leden	3
