Prec	Seq	Count
""""	de	2
#	2	1
$	et	1
$	par	1
$	pour	4
$	à	1
%	2005	1
%	2006	1
%	2007	1
%	7 929	1
%	alors	1
%	avoir	1
%	ce	1
%	chez	1
%	contre	2
%	dans	2
%	de	68
%	en	1
%	entre	1
%	environ	1
%	et	8
%	fin	1
%	inférieur	1
%	issu	2
%	le	6
%	ne	1
%	par	6
%	plus	1
%	pour	5
%	précédemment	1
%	que	1
%	recyclable	1
%	respectivement	1
%	restant	2
%	retrouver	1
%	sans	1
%	selon	1
%	soit	1
%	sur	3
%	à	7
%	être	4
&	Chef	1
&	Mariam	1
&	Millau	1
&	Poor	2
&	Saint-Paul	1
&	Schlitz	1
&	Shipbuilding	1
&	blanc	1
&	country	1
&	poster	1
'	07	1
'	32	1
's	AD	1
's	Awakening	1
's	Bay	1
's	Bridge	1
's	Circus	2
's	Inn	1
's	Meat	1
's	Own	1
's	avec	1
's	avoir	1
's	band	1
's	foundation	1
's	great	1
's	island	1
's	last	1
's	le	1
's	littéralement	1
's	qui	1
's	sound	1
*	1552-1554	1
+	3,05	1
+	3,6	2
+	3N2	1
+	4,0	1
+	de	1
+	en	1
+	entourer	1
+	il	1
+	le	1
+	lui-même	1
+	pour	1
+1	-1	1
+14	ce	1
+2	à	1
+4	-2	1
+5	tenir	1
-1	=	1
-1	à	1
-1,9	à	1
-15	-17	1
-17	-19	1
-1710	ce	1
-1899	dans	1
-19	-20	1
-1945	le	1
-2	=	1
-20	et	1
-2033	et	1
-2200	à	1
-365	Ma	1
-5	°	1
-là	114	1
-là	elle	1
-là	le	1
-là	mais	1
-là	être	2
.270	Win	1
/	H	1
0	but	1
0	elle	1
0	et	1
0	point	1
0	à	1
0,05	°	1
0,150	km	1
0,276	avec	1
0,3	%	1
0,5	%	1
0,5	Hc	1
0,58	euro	1
0,6	%	2
0,62	%	1
0,67	masse	1
0,86	%	1
0,88	%	1
0,9	%	2
0,9	interception	1
0,9	tir	1
0-0	il	1
0-3	contre	1
007	France	1
007	et	1
00H30	GMT	1
00h45	à	1
01	et	2
012	se	1
02	obtenir	1
023	être	1
04h00	il	1
07	""""	1
08	qui	1
1	%	2
1	4	2
1	FAUBOURG	1
1	Lord	1
1	an	3
1	août	1
1	après	1
1	compagnie	1
1	contourner	1
1	de	3
1	division	1
1	et	7
1	février	1
1	heure	1
1	juillet	2
1	juin	1
1	m	1
1	mars	2
1	milliard	1
1	minute	2
1	mètre	1
1	octobre	1
1	point	1
1	rencontrer	1
1	rue	1
1	semaine	1
1	seul	1
1	sur	1
1	tartane	1
1	un	2
1	à	3
1 000	km	1
1 000	m	1
1 100	citoyen	1
1 200	kilomètre	1
1 209	mètre	1
1 231	habitant	1
1 250	homme	1
1 345	de	1
1 500	habitant	1
1 500	m	1
1 500	mètre	1
1 500 000	franc	1
1 728	par	1
1 766 691 409	±	1
1,1	et	1
1,1	milliard	1
1,2	%	1
1,2	GHz	1
1,2	million	1
1,29	FS	1
1,36	interception	1
1,4	passe	1
1,5	milliard	1
1,51	franc	1
1,52	m	1
1,61	m	1
1,73	m	1
1,75	m	1
1,8	passe	1
1,80	m	1
1,84	m	1
1,85	partie	1
1,87	en	1
1,88	m	1
1,9	%	1
1-0	de	1
1-030	TA	1
1-1	à	1
1-2	contre	1
1-2	septembre	1
1-6	6-7	1
1.000	mètre	1
1.200.678	KW	1
1.817,15	dollar	1
1/44	à	1
10	%	5
10	an	3
10	août	2
10	avec	1
10	avril	5
10	chanson	1
10	client	1
10	cm	2
10	coup	1
10	de	1
10	décembre	2
10	et	2
10	euro	1
10	février	1
10	juillet	1
10	juin	1
10	le	1
10	m	1
10	mai	1
10	milliard	2
10	million	2
