Prec	Seq	Count
#	11	1
#	20	1
#	505	1
$	für	1
%	Anhänger	1
%	Katholik	1
%	Kind	1
%	Marke	1
%	Moldauern	1
%	Muslime	1
%	Polen	2
%	Russe	1
%	Trichophyton	2
%	Ukrainer	1
%	afrikanisch	1
%	als	4
%	asiatisch	1
%	auf	3
%	bezeichnen	1
%	davon	1
%	der	17
%	deutsch	2
%	ebenso	1
%	ein	1
%	elektrifizieren	1
%	erneuerbaren	1
%	europäisch	1
%	geben	2
%	haben	1
%	hoch	2
%	ige	1
%	in	1
%	jährlich	1
%	kultiviert	1
%	leicht	1
%	mehr	1
%	nur	1
%	recht	1
%	reduzieren	1
%	sein	3
%	sollen	1
%	stammen	1
%	steigen	1
%	stimmen	1
%	und	1
%	unter	1
%	weit	1
%	weiterhin	1
%	wenig	1
%	zu	1
%	äthiopisch	1
%	über	2
&amp;	Alt	1
&amp;	B	2
&amp;	Co	1
&amp;	Co.	4
&amp;	Finch	1
&amp;	Freundlich	1
&amp;	Gemüse	1
&amp;	Guestier	1
&amp;	Halske	1
&amp;	I	1
&amp;	J	1
&amp;	Kindertraum	1
&amp;	Krupka	1
&amp;	Nicolaus	1
&amp;	Paiper	1
&amp;	Partnership	1
&amp;	Price	1
&amp;	Row	1
&amp;	S	1
&amp;	Son	1
&amp;	Strategic	1
&amp;	Tee	1
&amp;	W	1
&amp;	Wesson	1
&amp;	hilfsbereit	1
&amp;	the	1
'	Mutter	1
'	Wilhelm	1
'	s	1
'8	Modellopern	1
'm	Eating	1
*	1183	1
*	1825	1
*	1891	1
*	1965	1
*	1968	1
*	1973	1
*	Teens	1
*	kennzeichnen	1
*	um	1
+	+	3
+	20	1
+	Builder	1
+	Entwicklungsumgebung	1
+	Neurath	1
+	nicht	1
+	und	1
,1,1	3	1
-1	zuordnen	1
-10	°	1
-9	°	1
..	?	1
.500	als	1
.Einzelne	Person	1
.Limitierte	Auflage	1
/	/	1
/	Gerät	1
/	Leistungsverhältnis	1
