Head_Lemma	Dep_Lemma	Relation	Count
#	11	appos	1
$	15.693	nummod	1
$	975.000	nummod	1
$	Einzel	nmod	1
$	Preisgeld	nsubj	1
$	Prokopfeinkommen	nsubj	1
$	betragen	cop	2
%	0	nummod	1
%	0,2	nummod	1
%	0,41	nummod	1
%	0,7	nummod	2
%	1,34	nummod	1
%	10	nummod	2
%	10,50	nummod	1
%	100	nummod	4
%	12	nummod	2
%	13,9	nummod	1
%	15-16	nummod	1
%	16	nummod	1
%	17	nummod	1
%	19,7	nummod	1
%	2,3	nummod	1
%	2,5	nummod	1
%	2.3	nummod	1
%	20	nummod	3
%	23,6	nummod	1
%	24	nummod	1
%	24.1	nummod	1
%	27	nummod	1
%	27,80	nummod	1
%	28,5	nummod	1
%	28,9	nummod	1
%	3	nummod	2
%	3,3	nummod	1
%	3,63	nummod	1
%	3,9	nummod	1
%	30	nmod	1
%	30	nummod	1
%	30,3	nummod	1
%	31,9	nummod	1
%	36	nummod	1
%	392	nummod	1
%	4	nummod	1
%	40	nummod	3
%	45	nummod	1
%	5	nummod	2
%	50-100	nummod	1
%	57,37	nummod	1
%	60	nummod	1
%	60,9	nummod	1
%	62	nummod	1
%	7	nummod	1
%	7,2	nummod	1
%	7,5	nummod	1
%	7,6	nummod	1
%	7,7	nummod	1
%	70	nummod	2
%	72	nummod	1
%	73,46	nummod	1
%	74	nummod	1
%	75	nummod	1
%	8	nummod	1
%	83,5	nummod	1
%	84	nummod	1
%	89,9	nummod	1
%	9,2	compound	1
%	90	nummod	1
%	90,72	nummod	1
%	92,34	nummod	1
%	95	nummod	2
%	95,18	nummod	1
%	Anteil	nsubj	2
%	Bevölkerung	nmod	3
%	Effizienz	nmod	2
%	Einwohner	nmod	1
%	Fall	nmod	1
%	Fläche	nmod	1
%	Gefälle	nsubj	1
%	Grünfläche	nmod	1
%	Kleingarten	nmod	1
%	Meßstation	nmod	1
%	Schuß	nmod	1
%	See	nmod	1
%	Stimme|Stimmen	nmod	2
%	Trockengewichts	nmod	1
%	Wiese	nmod	1
%	als	case	1
%	als	xcomp	3
%	an	case	1
%	auf	case	1
%	betragen	cop	3
%	davon	advmod	1
%	fast	advmod	1
%	mit	case	6
%	um	case	3
%	und	cc	2
%	von	case	9
%	weit	amod	1
%	zu	case	5
%	über	case	1
&amp;	Co.	conj	1
'8	noch	advmod	1
'8	nur	advmod	1
(	:	compound	1
*	1825	nmod	1
*	mit	case	1
,1,1	IV	compound	1
.500	ausdrücken	acl	1
/	/	conj	1
/	h	nmod	2
0	7	conj	2
0	Konvergenzradius	nsubj	1
0	ca.	advmod	1
0	konvergieren	advcl	1
0	nirgendskonvergent	conj	1
0	sein	cop	1
0	so	advmod	1
0	zwischen	case	2
0,04	und	cc	1
0,35	0,04	conj	1
0,35	zwischen	case	1
0,38433	Gamma	nsubj	1
0,38433	betragen	cop	1
0,4	1	nmod	1
0,4	bis	case	1
0,7	0,8	nmod	1
0,8	bis	case	1
000	000	conj	1
