Dep_Lemma	Head_Lemma	Count
#	20	1
#	505	1
#	Januar	1
$	CI	1
%	52.507	1
%	65	1
%	921	1
%	Abstammung	3
%	Anhänger	1
%	Anteil	1
%	Beteiligung	1
%	Cleveland	1
%	Dicke	1
%	Dopamin	1
%	Energiequelle	1
%	Ergebnis	1
%	Gesellschafteranteil	1
%	Jahr	2
%	Katholik	1
%	Kind	1
%	Marke	1
%	Moldauern	1
%	Muslime	1
%	Noradrenalin	1
%	Orthodoxe	1
%	Person	1
%	Plus	1
%	Polen	2
%	Protestant	1
%	Russe	1
%	Trichophyton	4
%	Ukrainer	1
%	Vergleichsmiete	1
%	Vorjahrespreis	1
%	Wachstum	1
%	Wertung	1
%	beheimaten	1
%	bekennen	1
%	bestätigen	1
%	bezeichnen	4
%	bis	1
%	der	1
%	deutsch	2
%	entfallen	3
%	entsprechen	1
%	erhalten	1
%	erwerben	1
%	finden	1
%	geben	1
%	gehen	1
%	haben	1
%	hoch	3
%	ige	1
%	kommen	1
%	kultiviert	1
%	mehr	2
%	nehmen	1
%	pendeln	1
%	reduzieren	1
%	registrieren	1
%	sprechen	1
%	stammen	1
%	steigen	2
%	stellen	2
%	stimmen	1
%	unterrepräsentieren	1
%	verbreitet	1
%	wenig	1
%	zerstört	1
&amp;	A	1
&amp;	Alt	1
&amp;	B	1
&amp;	Co	1
&amp;	Co.	3
&amp;	Dotzler	1
&amp;	Finch	1
&amp;	Freundlich	1
&amp;	Gemüse	1
&amp;	Guestier	1
&amp;	Halske	1
&amp;	Kindertraum	1
&amp;	Klausner	1
&amp;	New	1
&amp;	Nicolaus	1
&amp;	Paiper	1
&amp;	Partnership	1
&amp;	Planning	1
&amp;	Price	1
&amp;	R	1
&amp;	Row	1
&amp;	S	1
&amp;	Shondells	1
&amp;	Son	1
&amp;	Tee	1
&amp;	W	1
&amp;	Wesson	1
&amp;	hilfsbereit	1
'	Armin	1
'	Hughes	1
'	Schilling	1
'	s	1
'8	Modellopern	1
'm	Eating	1
(	einzäunen	1
*	1183	1
*	1320	1
*	1891	1
*	1965	1
*	1968	1
*	1973	1
*	A	1
*	Caspar	1
*	kennzeichnen	1
+	20	1
+	C	6
+	Neurath	1
+	Operator	1
+2	1	1
,1,1	3	1
-1	Positron	1
-10	°	1
-9	°	1
.	IX	1
..	Wette|Wetten	1
.500	Bilanz	1
.Einzelne	Person	1
.Limitierte	Auflage	1
/	/	1
/	Gerät	1
/	Leistungsverhältnis	1
/	Liter	1
/	Notation	1
/	Patient	1
/	Singspiel	1
/	ha	1
/	s	1
/	wir	1
/	°	2
0	%	1
0	Betrieb	1
0	Stern	1
0	liegen	2
0	°	1
0,04	0,35	1
0,07	Sekunde	1
0,1	Prozent	1
0,2	%	1
0,2	Mißbrauchsfall	1
0,35	Albedo	1
0,4	Millimeter	1
0,4	Mißbrauchsfall	1
0,41	%	1
0,41	Prozent	1
0,5	Masseprozent	1
0,5	Prozent	1
0,5	Zentimeter	1
0,56	g	1
0,6	V	1
0,64	Zentimeter	1
0,7	%	2
0,8	0,7	1
0,98	mm	1
00	33	1
00	36	1
00	°	2
000	000	1
000	Bedienstete	1
000	Beschäftigte	1
000	Demonstrant	1
000	Deutschstämmige	1
000	Einwohner	1
000	Flüchtling	2
000	Mark	4
000	Mensch	1
000	Mitglied	1
000	Stundenkilometer	1
000	Tier	1
000	U.S.	1
000	Urteil	1
000	Wahlbüro	1
000	ausstatten	1
000	liegen	1
000	niedrig	1
000	verdoppeln	1
000	zwischen	1
01	2000	2
02	1901	1
02	2001	2
020C	geben	1
03	2002	1
03	908	2
04	2003	2
04	Schalk	2
04	Stand	1
0415	Route	2
05	2004	1
07	2006	5
07	FC	1
07	SC	1
07	Untertürkheim	1
08	2007	4
08	VfL	1
09	2008	1
09	April	1
09	Saison	1
09	Wattenscheid	1
0:0	Hinspiel	1
0:0	Rückspiel	1
0:1	Rückspiel	1
0:1	verlieren	1
0:2	Rückstand	1
0:2	unterliegen	1
0:3	Rückstand	1
0:3	ersetzen	1
0:3	unterliegen	1
0:3	verlieren	1
0:8	Schlappe	1
0x0800	Wert	1
0x8100	Wert	1
1	0,4	1
1	1999	1
1	2	2
1	200	1
1	4	1
1	Amt	1
1	Ausgabe	1
1	B	1
1	BEMA	1
1	BPersVG	1
1	Beginn	1
1	California	1
1	Clubbereich	1
1	CoD	1
1	D	1
1	Extraabschnitten	1
1	Formel	2
1	Gramm	1
1	Italia	1
1	Januar	1
1	Juli	2
1	Kreuz	1
1	Leptonenzahl	1
1	Linie	1
1	Machatz	1
1	Million	2
1	Nacht	1
1	Nummer	4
1	OG	1
1	OKB	1
1	Osf	1
1	Platz	4
1	Polo	1
1	Sa'ar	1
1	Start	1
1	Stunde	1
1	Teil	1
1	Terminal	1
1	Tor	1
1	Tropfen	1
1	Uhr	1
1	Wahlkreis	1
1	Zahl	1
1	an	2
1	finden	1
1	gleisen	1
1	in	1
1	km	1
1	m	1
1	mal	1
1	mm	1
1	per	1
1	von	1
1	µm	1
1	übernehmen	1
1	μm	2
1,1	km	1
1,11	Prozent	1
1,2	Lösungs	1
1,2	Prozent	1
1,2	mm	2
1,20	Prozent	1
1,27	Zentimeter	1
1,3	km	1
1,325	Million	1
1,34	%	1
1,348	Milliarde	1
1,4979	°	1
1,5	Kilometer	3
1,5	Millimeter	2
1,5	Prozent	2
1,5	V	1
1,5	Zentimeter	1
1,5	bis	1
1,5	cm	1
1,5	km	2
1,5	mA	1
1,50	Meter	1
1,54	Verlängerungsfaktor	1
1,57	Million	1
1,6	Milliarde	1
1,66	Katholik	1
1,7	Milliarde	1
1,7	cm	1
1,7	km	1
1,70	m	1
1,76	Meter	1
1,8	km	1
1,83	m	1
1,85	m	1
1,9	km	1
1,96	m	1
1-2	2-3	1
1-2	Person	1
1-30	V.	1
1-4	Bahnnummern	1
1.065	Einwohner	1
1.220	Waka	1
1.338	Güterwagen	1
1.400	Parkplatz	1
1.452	Einwohner	1
1.600	Jude	1
1.604	kg	1
1.651	kg	1
1.700	Jude	1
1.726	Fahrzeug	1
1.832	Stehplatz	1
1.854	Platz	1
10	%	2
10	2009	2
10	5	1
10	A	2
10	Amphibienart	1
10	Angehörige	1
10	Distrikt	1
10	EUR	2
10	Ergebnis	1
10	ICD	1
10	Kilometer	1
10	Konto	1
10	MW	1
10	Mbit	1
10	Minute	2
10	NG	2
10	Platz	1
10	Prozent	2
10	Punkt	2
10	Samenanlagen	1
10	Stiftung	2
10	Stunde|Stunden	2
10	Tag	1
10	Top	1
10	Tor	1
10	ab	1
10	erzielen	1
10	ha	1
10	jährigen	1
10	jähriges	1
10	km	1
10	m	5
10	mal	1
10	min	2
10	t	1
10	von	2
10	€	1
10,50	%	1
10-8-6-5-4-3-2-1	System	1
10-GBit/s-Ethernet	hinauf	1
10.000	Ei	1
10.000	Zitationen	1
10.000	m	1
10.462	sinken	1
10.500	Exemplar	1
10.900	Kirchengemeinde	1
100	%	4
100	000	2
100	70	1
100	Arbeitsplatz	1
100	Art	2
100	Beschäftigte	1
100	Betrieb	1
100	Charge	1
100	Einfamilie	1
100	Film	1
100	Firma	1
100	Frau	1
100	Guitarists	1
100	Jahr	5
100	Kilogramm	1
100	Liter	1
100	Länderspiel	1
100	Mbit	1
100	Meter	2
100	Person	3
100	Prozent	3
100	Stück	1
100	Tag	2
100	Tankstelle	1
100	Titel	1
100	Tonne	1
100	Top	1
100	Zimmer	1
100	kW	1
100	klettern	1
100	km	2
100	m	2
100	Übersommerern	1
100,6	Person	1
100.000	Einwohner	1
100.000	Hektar	1
100.000	Kind	2
100.000	²	1
1000	ATP	2
1000	Athlet	1
1000	CI	1
1000	Hektar	1
1000	R	1
1000	Stück	1
1000	Teilnehmerzahl	1
1000	Wohnung	1
1000	fl	1
1000	jährige	1
10000	Handfeuerwaffe	1
10000	Quadratmeter	1
101	zimmern	1
1010	errichten	1
103	Wohnung	1
1035	übergehen	1
1045	bleiben	1
1048	Jahr	1
105	Kandidat	1
105	m	1
105.529	Einwohner	1
1054	Jahr	1
106	Quadratkilometer	1
1065	Oktober	1
107	Staat	1
1076	1054	1
109A	BLU	1
10:0	führen	1
10:0	gewinnen	1
10K	gut	1
11	#	1
11	2010	3
11	Feldartilleriebataillon	1
11	Jahr	1
11	Kirchgasse	1
11	Millimeter	1
11	PDP	2
11	km	1
11	mal	1
11,1	Prozent	1
11,50	m	1
11,6	km	1
11,8	m	1
11,9	Prozent	1
11-13	Hauptstraße	1
11.590.726,11	Hektar	1
110	Art	1
110	Show	1
110	bis	1
110	km	1
1100	errichten	1
1102	befinden	1
1104	bauen	1
1108	Jahr	1
111	Jahr	1
111	LA	1
1110	Hand	1
1111	Bischof	1
1120	EG	1
1120	datieren	1
1127	Bischof	1
1128	gehören	1
113	A	1
113	Folge	1
1130	erwähnen	1
1134	finden	1
1134-1170	Askanier	1
1142	Mai	1
1148	datieren	1
1152	erwähnen	1
1157	schlagen	1
1168	Jahr	1
117	Nationalkomitee	1
1170	nennen	1
1182	lassen	1
1183	Hyazinth	1
119	Meter	1
1197:10	Siegquote	1
12	%	2
12	1969	1
12	2011	2
12	5	1
12	Flossenstrahlen	1
12	Galeere	1
12	Jahr	1
12	Lokomotive	1
12	Meter	2
12	P	1
12	Prozent	2
12	Stachel|Stacheln	1
12	Stelle|Stellen	1
12	an	1
12	cm	1
12	mal	1
12	mm	1
12,1	Prozent	1
12,4	Prozent	1
12,50	m	1
12.000	2.000	1
12.000	Person	1
12.000	Zuschauer	1
12.000-15.000	Einwohner	1
12.500	Euro	1
12.532	Einwohner	1
12.679	sinken	1
120	Art	1
120	m	1
1200	Chozmin	1
1200	nehmen	1
1200	°	1
1204	Jahr	1
121	mal	1
121,48	mg	1
1218	einführen	1
1218	einsetzen	1
1223	zugestehen|zustehen	1
1225	dass	1
1225	heiraten	1
123.000	Antrag	1
1230	Jahr	1
1231	33	1
1236	erwähnen	1
1237	Jahr	1
1239	übertragen	1
124	an	1
124	km	1
1240	Dominikanerkonvent	2
1240	Einwohner	1
1242	April	1
125	Meter	1
125	°	1
1250	gelingen	1
1251	erwähnen	1
1255	Katharina	1
1255	Punkt	1
1256	erwähnen	1
125jährig	Bestehen	1
1268	Punkt	1
1268	stellen	1
127	Art	1
127	LZ	1
127.140	Staatsbürger	1
1270	Jahr	1
1270	beginnen	1
1270	führen	1
1270	schenken	1
1270	werden	1
1271	führen	1
1281	gelangen	1
129	NGC	1
129	Paragraph	1
129	km	1
129.946	Einwohner	1
1291	Hand	1
1291	Zusammenbruch	1
1296	nennen	1
1297	Jahr	1
1298	ermorden	1
1298	übernehmen	1
13	18	1
13	1912	1
13	2012	1
13	7	1
13	Amtsbezirk	1
13	Anfang	1
13	Apollo	2
13	August	1
13	Folge	1
13	Jahr	4
13	Kanalstufen	1
13	Kind	1
13	Markt	1
13	November	1
13	Platz	1
13	Solist	1
13	Stuhl	1
13	Turnier	1
13	U	1
13	m	2
13	sein	1
13,5	mögen	1
13,7	Prozent	1
13,9	%	1
