Prec	Seq	Count
.३०	बोर	1
.३०३	का	1
1	किमी	1
1	जुलाई	1
1.5	करोड	1
10	10	1
10	15	1
10	इंडिया	1
10	जुलाई	1
10	फीसदी	1
10	फुट	1
10	लाख	1
10	से	1
10.30	से	1
100	किमी	1
100	रुपया	2
1000	फुट	1
1000	वर्ष	1
1000	से	1
100000	कर	1
1008	शक्तिपीठ	1
103	हिजबुल	1
11	और	1
11	ने	1
11	बज	1
11	स्वतंत्र	1
11	हजार	1
1100	वर्ष	1
115	रुपया	1
115	हरकत	1
1156	में	1
117	फुट	2
1192	में	1
11वां	अंतर्राष्ट्रीय	1
12	कारीगर	1
12	किमी	3
12	किलोमीटर	1
12	फीसदी	1
12	मई	1
12	मिनट	1
12	लोग	1
12	साल	1
12	सीट	1
12	हजार	1
120	रुपया	1
123	लश्कर	1
124	किमी	1
125	रुपया	1
125	से	1
1282	में	1
1290	में	1
12वाँ	शताब्दी	1
12वां	शताब्दी	1
13	निर्दलीय	1
130	रुपया	1
1301	में	1
14	एसएलआर	1
14	केंद्र	1
14	फरवरी	1
14	वर्ष	1
140	रुपया	1
14वाँ	सदी	1
15	अक्तूबर	1
15	का	1
15	किलोमीटर	1
15	केंटर	1
15	मिनट	1
150	फीसदी	1
150	रुपया	1
1500	देवबंदी	1
1500	रुपया	1
1504	में	1
1528	ई.	1
1565	ई.	1
157	सीढी	1
16	अक्तूबर	1
16	महाजनपद	1
16	विश्वास	1
16	से	1
16	स्थित	1
1648	ई.	1
16वाँ	शताब्दी	2
17	अप्रैल	2
17	जून	1
17	पद	2
1754	में	1
17वाँ	शताब्दी	3
18	होटल	2
180	डॉलर	1
185	मीटर	1
1876	में	1
19	नवंबर	1
19	फीसदी	1
19401	बता	1
1981	में	1
1990	में	1
1993ए	निवासी	1
1993बी	निवासी	1
19वां	बैठक	1
2	फीसदी	1
2	बजे	1
2.5	करोड	1
20	फीसदी	2
20	में	1
200	एकड	1
200	कि.मी.	1
200	किलोमीटर	1
200	साल	1
2000	साल	1
2001	में	1
2002	का	2
2003	एफआरबीएम	1
2003	के	1
2003	में	1
2004	का	1
2004	को	1
2004	प्रदान	1
2005	से	1
2006	के	1
2006	तक	1
2007	को	1
2009	तक	1
21	जून	1
21	लोग	1
22	मीटर	1
22	रुपया	1
220	किमी	1
223	किमी	1
225	रुपया	1
230	करोड	1
24	घंटा	1
24	महीना	1
25	करोड	1
25	किलोमीटर	1
25	जून	2
25	वर्ष	1
250	रुपया	1
25ए	16	1
26	दिसंबर	1
27	ए	1
27	जनवरी	1
27	मई	1
28	जुलाई	1
28	पर	1
28	में	1
28	साल	1
280	कार्टन	1
280	सिगरेट	1
288	सीट	1
3	करोड	1
3	किलोमीटर	1
3	दिन	2
3	फीसदी	1
3	से	1
30	खुल	1
30	जून	1
30	मीटर	1
30	लश्कर	1
30	सितंबर	1
300	करोड	1
300	रुपया	1
300	साल	1
3000	से	1
304ए	तथा	1
31	थाना	1
31	दिसंबर	1
31	पुलिस	1
321	मीटर	1
337	के	1
35	कि.मी.	1
35	किलोमीटर	1
36	बेहद	1
367	का	1
37	फीसदी	1
38	जिला	1
380	के	1
39	विधानसभा	1
392	वर्गमीटर	1
4	जुलाई	1
4	बज	1
4.3	फीसदी	1
40	45	1
40	55	1
40	गोल्फ	1
40	फीसदी	1
400	नक्सली	1
4000	से	1
401	मीटर	1
407	का	1
407	को	1
407	ले	1
41	हजार	1
420	मीटर	1
440	डॉलर	1
445	हैक्टेयर	1
45	50	1
45	करोड	1
45	फीसदी	1
458	व	1
46	किमी	2
4657	लोग	1
483	ईसा	1
49	पद	1
5	बजे	2
5	लाख	2
50	फीसदी	3
50	फुट	1
50	लाख	1
50	हजार	1
500	से	2
5000	रुपया	1
5000	रूपया	1
5000	वर्ष	1
52	किलोमीटर	1
55	60	1
55	फीसदी	2
55	लाख	2
5500	धार्मिक	1
55000	गाँव	1
58	60	1
59	अल	1
5914	लोग	1
5वाँ	शताब्दी	1
6	7.4	1
6	फुट	1
6	बजे	1
6	लाख	1
6	हजार	4
6.30	तक	1
60	65	1
60	फीसदी	3
60	लाख	1
60	हजार	1
600	प्रजाति	1
6034	जब	1
64	हजार	1
65	फीसदी	2
66	पद	2
66	फुट	1
67	वर्षीय	1
7	8	1
7	अप्रैल	1
7	फीसदी	1
7	से	1
7.0	फीसदी	1
7.30	बजे	1
7.4	फीसदी	1
70	किलोमीटर	1
70	जैश	1
70000	100000	1
71	नेता	1
75	फीसदी	1
75	मिनिट	1
75	रुपया	1
75	लोग	1
75	से	1
8	8.5	1
8	किलोमीटर	1
8	फीसदी	1
8	फुट	1
8	बजे	1
8.5	फीसदी	1
80	डिग्री	1
80	फीसदी	1
8000	से	2
9	ग्रह	1
9	प्रवेश	1
9	बजे	1
920	में	1
930	में	1
940	मीटर	1
9571	लोग	1
99	किमी.	2
99	बुर्ज	1
994	में	1
अँधेरा	छा	1
अँधेरा	में	2
अँधेरा	हिस्सा	1
अंक	अर्जित	1
अंक	ऊपर	1
अंक	तक	2
अंक	तोहफा	1
अंक	पर	3
अंक	बढ	1
अंक	में	2
अंक	लुढक	1
अंक	वाला	1
अंक	से	1
अंकल	हम	1
अंकित	कर	2
अंकित	है	1
अंकिता	का	1
अंकुर	व	1
अंकुर	संदीप	1
अंकुश	लग	1
अंकुश	लगा	5
अंग	अपना	1
अंग	का	7
अंग	कार्यपालिका	1
अंग	को	8
अंग	खून	1
अंग	जहाँ	1
अंग	ट्रांसप्लांटेशन	1
अंग	बिखर	1
अंग	है	1
अंगारकाटा	में	1
अंग्रेज	का	3
अंग्रेज	कितना	1
अंग्रेज	को	1
अंग्रेज	द्वारा	1
अंग्रेज	ने	1
अंग्रेज	सैनिक	1
अंग्रेजी	अखबार	1
अंग्रेजी	और	1
अंग्रेजी	का	1
अंग्रेजी	दैनिक	1
अंग्रेजी	में	1
अंग्रेजी	साप्ताहिक	1
अंजलि	का	1
अंजलि	गुप्ता	2
अंजलि	तय	1
अंजलि	ने	1
अंजान	और	1
अंजाम	तक	2
अंजाम	तो	1
अंजाम	दे	20
अंजाम	नहीं	1
अंजू	वली	1
अंडमान	और	1
अंडमान	का	3
अंडमान	के	1
अंडमान	जा	1
अंडमान	था	1
अंडमान	द्वीप	1
अंडमान	निकोबार	10
अंडमान	में	1
अंडमान	व	1
अंडमानी	अपना	1
अंडमानी	आदिवासी	1
अंडमानी	ऐसा	1
अंडमानी	का	2
अंडमानी	कोई	1
अंडमानी	जनजाति	1
अंडमानी	परंपरागत	1
अंडमानी	सुनामी	1
अंडमानीज	आदिवासी	1
अंडरगारमेंट	और	1
अंडरगारमेंट	या	1
अंडरग्रेजुएट	विष्णु	1
अंडरवर्ल्ड	का	1
अंडरवर्ल्ड	के	3
