Head_Lemma	Dep_Lemma	Relation	Count
.३०३	का	case	1
1	लगभग	dep	1
10	10	compound	1
10	करीब	dep	1
10	सुबह	nmod	1
10	से	case	1
10.30	सुबह	nmod	1
10.30	से	case	1
100	केवल	dep	1
100	लगभग	dep	1
1000	लगभग	dep	1
1000	से	case	1
100000	70000	obj	1
11	7	nmod	1
11	करीब	dep	1
11	ने	case	1
11	शाम	conj	1
1156	में	case	1
1192	में	case	1
1192	सन्	compound	1
12	मात्र	dep	1
125	से	case	1
1282	में	case	1
1282	सन्	compound	1
1290	में	case	1
1290	सन्	compound	1
1301	में	case	1
15	10	nummod	1
15	का	case	1
15	लगभग	dep	1
1504	में	case	1
1504	सन्	nmod	1
157	लगभग	dep	1
16	गली	compound	1
16	नंबर	compound	1
16	नगर	nmod	1
16	से	case	1
1648	सन्	nmod	1
17	केवल	dep	1
17	महज	dep	1
1754	में	case	1
1876	कर	acl	1
1876	में	case	1
19	मात्र	dep	1
1981	में	case	1
1990	में	case	1
1993ए	नंबर	compound	1
1993ए	मकान	compound	1
20	अधिनियम	nmod	1
20	करीब	dep	1
20	धारा	compound	1
20	में	case	1
200	करीब	dep	2
2000	लगभग	dep	1
2001	में	case	1
2002	का	case	2
2003	कानून	compound	1
2003	के	case	1
2003	तहत	case	1
2003	पुरस्कार	compound	1
2003	प्रबंधन	compound	1
2003	बजट	compound	1
2003	में	case	1
2003	मैदीनी	compound	1
2003	योजना	compound	1
2004	27	compound	1
2004	अम्माल	compound	1
2004	अवार्ड	compound	1
2004	ई.	compound	1
2004	का	case	1
2004	के.	compound	1
2004	को	case	1
2004	जानकी	compound	1
2004	नेशनल	compound	1
2004	मई	compound	1
2004	वर्ष	nmod	1
2005	एक	compound	1
2005	जनवरी	compound	1
2005	से	case	1
2006	31	compound	1
2006	के	case	1
2006	तक	case	1
2006	दिसंबर	compound	1
2006	बाद	case	1
2006	साल	nmod	1
2007	एक	compound	1
2007	को	case	1
2007	जनवरी	compound	1
2009	तक	case	1
2009	वर्ष	nmod	1
28	नं	compound	1
28	नेशनल	compound	1
28	पर	case	1
