Dep_Lemma	Head_Lemma	Count
.३०	बोर	1
.३०३	गोली	1
1	किमी	1
1	जुलाई	1
1.5	करोड	1
10	10	1
10	15	1
10	जुलाई	1
10	फीसदी	1
10	फुट	1
10	बज	1
10	रिजर्व	1
10	लाख	1
10.30	6.30	1
100	किमी	1
100	रुपया	2
1000	ज्यादा	1
1000	फुट	1
1000	वर्ष	1
100000	कर	1
1008	शक्तिपीठ	1
103	मुजाहिदीन	1
11	खुल	1
11	दे	1
11	बज	1
11	विधायक	1
11	हजार	1
1100	वर्ष	1
115	कुंतल	1
115	मुजाहिदीन	1
1156	कर	1
117	फुट	2
1192	कर	1
11वां	दिवस	1
12	कारीगर	1
12	किमी	3
12	किलोमीटर	1
12	फीसदी	1
12	मई	1
12	मिनट	1
12	लोग	1
12	साल	1
12	सीट	1
12	हजार	1
120	रुपया	1
123	ताइबा	1
124	किमी	1
125	फीसदी	1
125	रुपया	1
1282	सत्तारूढ़	1
1290	कर	1
12वाँ	शताब्दी	1
12वां	शताब्दी	1
13	निर्दलीय	1
130	रुपया	1
1301	जीत	1
14	एसएलआर	1
14	केंद्र	1
14	फरवरी	1
14	वर्ष	1
140	रुपया	1
14वाँ	सदी	1
15	अक्तूबर	1
15	किलोमीटर	1
15	केंटर	1
15	मिनट	1
15	मौत	1
150	फीसदी	1
150	रुपया	1
1500	रुपया	1
1500	विचारधारा	1
1504	बसा	1
1528	ई.	1
1565	ई.	1
157	सीढी	1
16	अक्तूबर	1
16	नगर	1
16	महाजनपद	1
16	शताब्दी	1
16	स्थित	1
1648	ई.	1
16वाँ	शताब्दी	2
17	अप्रैल	2
17	जून	1
17	पद	2
1754	दे	1
17वाँ	शताब्दी	3
18	होटल	2
180	डॉलर	1
185	मीटर	1
1876	आ	1
19	नवंबर	1
19	फीसदी	1
19401	बता	1
1981	कह	1
1990	कर	1
1993ए	निवासी	1
1993बी	निवासी	1
19वां	बैठक	1
2	फीसदी	1
2	बजे	1
2.5	करोड	1
20	कर	1
20	फीसदी	2
200	एकड	1
200	कि.मी.	1
200	किलोमीटर	1
200	साल	1
2000	साल	1
2001	दिखा	1
2002	चुनाव	2
2003	एफआरबीएम	1
