Prec	Seq	Count
2-NO-A3---	si	1
4-O--------	anima	1
4-O--------	quandoque	1
4-O--------	semper	1
4-O--------	species	1
4-O--------	sum	1
_	_	379
_	a	2
_	ad	8
_	anima	1
_	arguo	1
_	aristoteles	1
_	assero	1
_	autem	1
_	caelestis	3
_	caelum	5
_	caritas	1
_	circa	1
_	compono	1
_	constituo	1
_	cum	2
_	de	138
_	deus	3
_	dico	51
_	divinus	1
_	dogma	4
_	dominus	4
_	duplex	2
_	e	6
_	ecce	1
_	enim	1
_	et	9
_	ethici	21
_	etiam	1
_	exprimo	1
_	facio	1
_	forma	3
_	gaudium	1
_	genus	1
_	habito	1
_	hic	3
_	idem	1
_	ideo	1
_	impossibilis	2
_	in	1
_	introduco	1
_	ipse	1
_	ita	2
_	liber^volumen	3
_	loquor	1
_	magnus	1
_	manifestus	1
_	materia	1
_	metaphysicus	31
_	meteori	2
_	moveo	1
_	moyses	1
_	niger	1
_	nomino	1
_	non	3
_	nonne	1
_	oculus	1
_	omnis	3
_	ordino	1
_	ostendo	4
_	pateo	1
_	philosophus	3
_	physicus	26
_	poeniteo	1
_	politicus	1
_	posterus	5
_	postquam	1
_	praedicamentum	1
_	primus	1
_	probo	2
_	proprius	1
_	prudentia	1
_	qui	7
_	quia	1
_	quicumque	1
_	quis	1
_	quod	34
_	quomodo	1
_	scibilis	1
_	secundum	2
_	sed	2
_	sic	1
_	sicut	2
_	sine	1
_	species	2
_	sum	2
_	super	2
_	ubi	3
_	ut	1
_	utrum	1
_	vel	2
_	victor	1
_	video	1
_	vir	1
_	voluntas	1
a	_	3
a	actio	2
a	actus	6
a	aequalitas	1
a	aeternus	35
a	agens	18
a	ago	2
a	albedo	2
a	alexander	1
a	aliqui	41
a	aliquis	22
a	alius	98
a	alter	11
a	angelus	3
a	anima	16
a	animal	1
a	antiquus	1
a	appendentia	1
a	aristoteles	9
a	ars	7
a	artifex	6
a	avicenna	1
a	beatus	1
a	bonitas	6
a	bonum	11
a	bonus	4
a	brutus	5
a	calor	2
a	carnalis	1
a	casus	34
a	causa	19
a	centrum	1
a	claritas	1
a	commixtio	1
a	communis	1
a	completus	1
a	conceptio	1
a	condicio	8
a	consideratio	1
a	contemplatio	1
a	contingo	1
a	contrarius	1
a	corporalis	2
a	corporeus	2
a	corpus	70
a	corruptibilis	2
a	corruptio	2
a	creatura	1
a	creo	2
a	damascenus	1
a	dator	1
a	debilis	1
a	delectatio	1
a	deorsum	1
a	desidero	1
a	deus	140
a	dignus	1
a	dionysius	2
a	dispositio	1
a	diversitas	1
a	diversus	3
a	divinus	4
a	doceo	1
a	dominus	4
a	domus	1
a	duo	4
a	effectus	1
a	ego	25
a	empedocles	1
a	esse	4
a	essentia	1
a	excellentia	2
a	excello	3
a	expositor	1
a	exterior	7
a	extrinsecus	6
a	facies	1
a	falsus	1
a	fides	1
a	filiatio	1
a	filius	4
a	finis	17
a	forma	44
a	fortis	1
a	fortitudo	1
a	frigus	1
a	fructus	1
a	generalitas	1
a	genero	5
a	gens	1
a	gratia	2
a	gressibilis	1
a	gubernator	1
a	hic	15
a	homo	6
a	idea	2
a	idem	8
a	ignis	2
a	ille	17
a	immobilis	1
a	immobilitas	1
a	impressio	1
a	inanimatus	1
a	incorruptibilis	1
a	inferus	4
a	infinitas	1
a	infinitus	3
a	initium	2
a	instabilis	1
a	instrumentum	1
a	intellectualis	3
a	intellectus	29
a	intelligentia	4
a	intelligibilis	5
a	intelligo	2
a	intentio	1
a	intraneus	1
a	invicem	8
a	ipse	69
a	is	117
a	labor	1
a	locus	3
a	lux	1
a	magnus	2
a	malum	2
a	malus	2
a	manifestus	1
a	manus	1
a	mater	1
a	materia	45
a	materialis	2
a	mensura	1
a	modero	1
a	modus	2
a	motio	1
a	motor	5
a	motus	6
a	moveo	4
a	mulier	1
a	multus	10
a	mundus	1
a	natura	29
a	naturalis	2
a	necessarius	2
a	neuter	1
a	nobilis	1
a	non	3
a	nonnullus	1
a	novus	2
a	nullus	7
a	occido^cado	1
a	occupatio	1
a	oculus	1
a	omnipotens	1
a	omnis	33
a	operatio	3
a	operor	2
a	opus	2
a	ordo	3
a	pars	1
a	participatio	4
a	particularis	1
a	parvus	1
a	passio	1
a	pater	5
a	paternitas	1
a	patiens	2
a	peccatum	1
a	penitus	1
a	perfectio	3
a	perfectus	2
a	personalis	1
a	perturbatio	1
a	phantasma	21
a	philosophus	11
a	pingo	1
a	plato	1
a	positio	2
a	possibilis	2
a	possideo	1
a	posterus	2
a	potentia	2
a	potestas	2
a	praedico	1
a	praemitto	1
a	praesideo	2
a	primus	17
a	principalis	2
a	principium	44
a	prior	3
a	privatio	2
a	propono	2
a	proprius	5
a	puer	2
a	pueritia	1
a	qui	55
a	quicumque	1
a	quidam	13
a	quidditas	1
a	quilibet	3
a	ratio	1
a	recipio	1
a	rectitudo	1
a	rectus	1
a	rego	1
a	relatio	1
a	reliquus	1
a	removeo	1
a	res	37
a	saeculum	1
a	sagitto	2
a	sano	1
a	sapiens	1
a	sapientia	1
a	scientia	1
a	seipse	15
a	sensibilis	28
a	sensus	15
a	signum	2
a	similitudo	2
a	simplex	1
a	simplicitas	3
a	singularis	2
a	sol	2
a	solus	2
a	species	3
a	subjectum	2
a	substantia	20
a	sui	42
a	summus	4
a	superus	9
a	suppositum	2
a	suus	14
a	tactus	1
a	talis	4
a	tango	1
a	tempus	4
a	tenebra	1
a	tertius	1
a	thronus	1
a	totus	3
a	tu	1
a	ubertas	2
a	universitas	2
a	universus	1
a	unus	15
a	unusquisque	1
a	uterque	2
a	valde	1
a	veritas	1
a	verus	1
a	video	1
a	virtus	8
a	visus	1
a	vitium	1
a	vivo	1
a	volatilis	1
a	volo	1
a	voluntas	5
abduco	in	1
abduco	per	1
abduco	secundum	1
abeo	igitur	1
abeo	in	4
abeo	quia	1
abeo	sensibilis	1
abjicio	anima	2
abjicio	contrarius	1
abjicio	sum	2
abjicio	unus	1
ablatio	consumo	1
ablatio	secundum	1
ablativus	ille	1
abominor	dominus	1
abraham	in	1
abscedo	atque	1
abscedo	is	1
abscedo	neque	1
abscedo	sequor	1
abscedo	sto	1
abscessus	anima	1
abscondo	a	1
abscondo	et	1
abscondo	fundamentum	1
absolutus	a	2
absolutus	considero	4
absolutus	cum	1
absolutus	dico	3
absolutus	e	1
absolutus	ens	1
absolutus	et	5
absolutus	facio	1
absolutus	homo	1
absolutus	impono	1
absolutus	in	5
absolutus	in+quantum	1
absolutus	invenio	1
absolutus	necessarius	4
absolutus	necesse	3
absolutus	necessitas	7
absolutus	non	1
absolutus	per	2
absolutus	perfectio	1
absolutus	perfectus	1
absolutus	quam	1
absolutus	quod	1
absolutus	requiro	1
absolutus	res	1
absolutus	sed	7
absolutus	sicut	1
