Prec	Seq	Count
#Haram	være	1
#stayinline	opp	1
$/	05-sesong	2
$/	06-sesong	1
$/	45	1
$/	AIDS	1
$/	AIDS-arbeid	1
$/	AIDS-katastrofe	1
$/	Crestock	1
$/	Geneve	1
$/	Halvorsen	1
$/	REUTERS	1
$/	Requiem-modus	1
$/	SCANPIX	1
$/	Scanpix	2
$/	aids	1
$/	dommer	1
$/	eller	5
$/	fylke	1
$/	g-huset	1
$/	hvitt	1
$/	hvitt-sending	1
$/	kg	3
$/	kommunal	1
$/	kommune	1
$/	mangle	1
$/	mars	1
$/	metode	1
$/	nytte-betraktning	1
$/	rigid	1
$/	sentrumskoalisjon	1
$/	skamfølelse	1
$/	tall-kilde	1
$/	verdsliggjøring	1
$/	vesen	1
%	av	1
%	for	1
%	sikkerhet	1
%	stilling	1
&	Co	1
&	Dag	1
&	Guðrun	1
&	Hard	1
&	Kultur	2
&	Skodvin	1
&	Vigsnæs	1
&	viten	1
+	Daniel	1
+	hel	1
+47	2400	1
+47	45	1
-B-landskamp	for	1
-analyse	gi	1
-apparat	men	1
-bok	provokasjonsverdi	1
-bransje	som	1
-dag	som	1
-dag	være	1
-episode	fortelle	1
-fantast	og	1
-film	med	1
-forestilling	på	1
-funksjon	på	1
-investering	som	1
-konsept	og	1
-kostyme	hun	1
-prosjekt	være	1
-skaper	Shigeru	1
-spill	komme	1
-spill	men	1
-spill	ville	1
-spill	være	2
-spill	å	1
-stunt	til	1
-stykke	til	1
-tittel	og	1
-tromme	som	1
-type	voksen	1
/	SCANPIX	2
/	gatebil-Iselin	1
0	2	1
0	men	1
0	mot	1
0	og	1
0	si	1
0	til	1
0,3	prosent	1
0,4	prosentpoeng	1
0,6	prosent	1
0,6	watt	1
0,7	prosent	2
0,8	watt	1
0-4-tap	være	1
00	00	1
000	enn	1
000	euro	1
000	fot	1
000	fødsel	1
000	i	2
000	krone	4
000	kvadratmeter	1
000	menneske	1
000	mobilmast	1
000	nordmann	1
000	norsk	1
000	svenske	2
000	til	1
000	tv-seer	1
000	visning	1
01.00	norsk	1
01.00	stenge	2
01.30	norsk	1
02.00	norsk	1
02.30	for	1
03.05	at	1
04.00	norsk	1
042	000	1
05-sesong	da	1
05.00	norsk	1
06-sesong	kunne	1
06.00	norsk	1
08-tid	lørdag	3
1	0	1
1	1	1
1	2	3
1	4	1
1	fjerde	1
1	for	1
1	første	2
1	million	2
1	måtte	1
1	politikk	1
1	prosent	3
1	pst.	1
1	på	1
1	som	1
1	søknad	1
1	til	1
1	tredje	1
1	ved	1
1	være	1
1,1	prosent	1
1,3	milliard	2
1,4	million	2
1,5	milliard	1
1,5	million	1
1,6	prosentpoeng	1
1,7	prosentpoeng	2
1,8	milliard	1
1,8	million	1
1-1-mål	men	1
1-2-tap	for	1
1.	juli	1
1.	juni	1
1.	mars	1
1.	november	1
1.	statskirkeordning	1
1.000	ansatt	1
1.000	sensitiv	1
1.1	innledning	1
1.1.1	medlem	1
1.1.2	mandat	1
1.2	utvalg	1
1.3	utvalg	1
1.300	mil	1
1.4	sekretariat	1
10	%	1
10	15	2
10	Massachusetts	1
10	august	1
10	blank	1
10	dag	1
10	februar	1
10	frede	1
10	milliard	2
10	million	2
10	minutt	2
10	og	3
10	prosent	2
10	tilslag	1
10	valgmannstemme	1
10	watt	1
10	år	1
10,3	prosent	1
10.	juni	1
10.000	krone	1
10.000	og	1
10.45	lørdag	1
100	000	2
100	ansatt	1
100	forskningsuniversitet	1
100	god	1
100	gå	1
100	krone	1
100	land	1
100	leilighet	1
100	meter	4
100	million	2
100	prosent	5
100	situp	1
100	universitet	1
100	valgmann	1
100	år	1
100-meter	59,35	1
100-årsjubileum	i	1
100.000	euro	1
1000	1500	1
1000	krone	1
1000	mikrometer	1
1000	stemme	1
1000	år	2
10000	menneske	1
10000	samle	1
10000	tilskuer	1
10000	uskyldig	1
10cc	da	1
11	000	1
11	13	1
11	Lucy	2
11	august	1
11	dag	1
11	gang	1
11	men	1
11	million	1
11	og	1
11	som	1
11	time	1
11	valgmannstemme	1
11	år	1
11-tid	om	1
11.	desember	1
11.	oktober	1
11.	september	1
11.3.1	ovenfor	1
11.3.2	grunnlag	1
11.3.3	oversikt	1
11.4	utvalg	1
11.4.1	behov	1
110	i	1
110	million	1
1100-tall	de	1
112	og	1
11790	som	1
12	fattig	1
12	for	1
12	gi	1
12	lørdag	1
12	meter	1
12	milliard	1
12	million	1
12	mål	1
12	måned	1
12	om	1
12	prosent	1
12	til	1
12	valgmannstemme	2
12	år	5
12-åring	hverdag	1
12.	september	1
12.30	i	1
12.40	i	1
120	ansatt	1
120	milliard	1
120-tall	og	1
120.000	menneske	2
1200	stille	1
1200	time	1
1200	år	1
12000	finger	1
122	spørsmål	1
123	til	1
1233	medlem	1
125	medarbeider	1
125	år	2
125-årsdag	i	1
13	Colorado	1
13	FN-soldat	1
13	barn	1
13	dø	1
13	for	1
13	ha	1
13	land	1
13	medlem	2
13	million	3
13	overbevise	1
13	slag	1
13	valgmann	3
13	valgmannstemme	3
13	år	1
13-åring	få	1
13-åring	melde	1
13-åringen	forelder	1
13.	januar	1
13.	juli	1
13.	oktober	1
13.500	bot	2
130	km/t	1
130.000	stemme	1
1300	SEK	1
1300-tall	likeledes	1
1350	snakke	1
135a	bli	1
135a	rasismeparagraf	1
136	000	1
14	000	2
14	15	1
14	annen	1
14	medlem	1
14	meter	3
14	million	1
14	minutt	1
14	mot	1
14	sekser	1
14	til	1
14	år	5
14,6	prosent	1
14,7	prosent	1
14-årsalder	skulle	1
14.	august	1
14.	august-arrangement	1
14.	august-feiring	1
14.	desember	1
14.	februar	1
14.	mars	1
14.	november	1
14.	oktober	1
14.	september	1
14.000	stemme	1
14.30	tre	1
140.000	selvstendig	1
148	til	1
14800	i	1
15	2009	1
15	New	1
15	eller	1
