Head_Lemma	Dep_Lemma	Relation	Count
%	10	nummod	1
%	50	nummod	1
%	60	nummod	1
%	90	nummod	1
%	i	case	1
%	over	case	1
%	vi	nmod	1
-B-landskamp	England	nmod	1
-B-landskamp	og	cc	1
-analyse	hvem	compound	1
-analyse	som	compound	1
-analyse	vond	compound	1
-analyse	være	compound	1
-apparat	og	cc	1
-bok	kamp	compound	1
-bok	min	compound	1
-bransje	bestå	acl	1
-bransje	nisje	compound	1
-dag	alle	compound	1
-dag	annen	det	1
-dag	denne	nmod	1
-dag	hverandre	compound	1
-dag	i	compound	1
-dag	minne	compound	1
-dag	og	cc	1
-dag	oppmerksomhet	compound	1
-dag	på	compound	1
-dag	skulle	compound	1
-dag	slik	det	1
-dag	til	compound	1
-dag	under	case	1
-dag	verden	compound	1
-dag	vise	compound	1
-episode	Sex	compound	1
-episode	den	det	1
-episode	i	case	1
-episode	og	compound	1
-episode	singelliv	compound	1
-fantast	Primus-fan	conj	1
-fantast	Singstar	compound	1
-fantast	på	case	1
-fest	Singstar	compound	1
-fest	på	case	1
-film	Julia	nmod	1
-film	Pretty	compound	1
-film	Woman	compound	1
-film	i	case	1
-film	som	case	1
-forestilling	Christiania	nmod	1
-forestilling	Mellom	compound	1
-forestilling	Skal	compound	1
-forestilling	av	case	1
-forestilling	danse	compound	1
-forestilling	neste	det	1
-forestilling	til	case	1
-forestilling	vi	compound	2
-funksjon	pressekonferanse	nmod	1
-funksjon	storme	compound	1
-funksjon	ut	compound	1
-investering	og	cc	1
-konsept	Gjærbägst	compound	1
-konsept	Homöcidal	compound	1
-konsept	Sirupsnipps	compound	1
-konsept	and	compound	1
-konsept	en	det	1
-konsept	med	case	1
-konsept	the	compound	1
-konsept	trailerlass	conj	1
-konsept	utvide	amod	1
-kostyme	Supermuslim	compound	1
-kostyme	ha	acl	1
-lagring	og	cc	1
-prosjekt	Omveg	compound	1
-serie	Singstar	compound	1
-serie	med	case	1
-skaper	Mario	compound	1
-spill	FM	compound	1
-spill	Guitar	compound	2
-spill	Hero	compound	2
-spill	Need	compound	1
-spill	Resistance	compound	2
-spill	Speed	compound	1
-spill	det	det	3
-spill	en	det	1
-spill	for	compound	1
-spill	første	amod	3
-spill	i	case	4
-spill	som	case	1
-spill	tidlig	amod	2
-stunt	ekskone	nmod	1
-stunt	humor	compound	1
-stunt	med	case	1
