Dep_Lemma	Head_Lemma	Count
#Haram	Arnfinn	1
#stayinline	seile	1
$/	05-sesong	2
$/	06-sesong	1
$/	AIDS-arbeid	1
$/	AIDS-katastrofe	1
$/	Afp	1
$/	Ahmad	1
$/	HIV	1
$/	Nikolay	1
$/	Oslo	1
$/	REUTERS	1
$/	Requiem-modus	1
$/	Reuters	1
$/	Stoltenberg	1
$/	_	1
$/	apparat	1
$/	bispedømme	1
$/	faktum	1
$/	fastlåst	1
$/	februar	1
$/	fellesråd	1
$/	hiv	1
$/	hvitt-sending	1
$/	kilde	1
$/	kunnskapsløshet	1
$/	lasarett	1
$/	nmg	1
$/	nytte-betraktning	1
$/	og	5
$/	sekularisering	1
$/	sentrumskoalisjon	1
$/	skyld-	1
$/	spesialetterforsker	1
$/	statlig	1
$/	watt	3
%	arbeide	1
%	ha	1
%	sikkerhet	1
%	stilling	1
&	Co	1
&	Guðrun	1
&	Helen	1
&	Jarmund	1
&	Jensen	1
&	Kraft	2
&	Natt	1
&	Vett	1
+	Eva	1
+	Island	1
+47	00	1
+47	36	1
-B-landskamp	junior-	1
-analyse	gi	1
-apparat	hvitt-sending	1
-bok	provokasjonsverdi	1
-bransje	vond	1
-dag	bli	1
-dag	dag	1
-episode	representere	1
-fantast	manko	1
-fest	misunnelig	1
-film	like	1
-forestilling	grunn	1
-forestilling	prøve	1
-funksjon	metode	1
-investering	boliglån	1
-konsept	forvandle	1
-kostyme	ta	1
-lagring	CO2-håndtering	1
-prosjekt	tema	1
-serie	suksess	1
-skaper	Shigeru	1
-spill	finnes	1
-spill	gjøre	1
-spill	håndplukke	1
-spill	komme	1
-spill	spille	1
-spill	være	1
-stunt	gjøre	1
-stykke	ta	1
-tittel	planlegge	1
-type	voksen	1
-utgivelse	brenne	1
-uvane	drikkevane	1
/	Cult-promotør	1
/	Håkon	2
0	1	1
0	2	4
0	3	1
0	4	1
0	tape	1
0,3	prosent	1
0,4	prosentpoeng	1
0,6	prosent	1
0,6	watt	1
0,7	liten	1
0,7	prosent	1
0,8	watt	1
0-4-tap	tung	1
00	00	1
00	36	1
000	20	1
000	euro	1
000	fot	1
000	fødsel	1
000	husholdning	1
000	kjole	1
000	krone	4
000	kvadratmeter	1
000	menneske	1
000	mobilmast	1
000	motsetning	1
000	nordmann	1
000	svenske	2
000	tv-seer	1
000	veske	1
000	visning	1
000	øke	1
01.00	stenge	2
01.00	vente	1
01.30	stenge	1
02.00	bli	1
02.00	stenge	1
02.30	våkne	1
03.05	erklære	1
04.00	komme	1
042	000	1
05-sesong	streik	1
05-sesong	utsette	1
05.00	stenge	1
06-sesong	spille	1
08-tid	ankomme	2
08-tid	legge	1
09	2007	1
1	1	1
1	2	2
1	3	1
1	AaFK	1
1	Eiendomsmegler	1
1	FFK-RBK	1
1	Rock	1
1	Start	1
1	kapittel	1
1	kølapp	1
1	million	2
1	minutt	1
1	prosent	3
1	pst.	1
1	stilling	1
1	stå	1
1	synes	1
1	underlegge	1
1	være	1
1	§	8
1,1	prosent	1
1,3	milliard	2
1,4	million	2
1,5	milliard	1
1,5	million	1
1,6	prosentpoeng	1
1,7	prosentpoeng	2
1,8	milliard	1
1,8	million	1
1-1-mål	ta	1
1-2-tap	si	1
1.	juli	1
1.	juni	1
1.	mars	1
1.	november	1
1.	statskirkeordning	1
1.000	ansatt	1
1.000	dokument	1
1.1	innledning	1
1.1.1	medlem	1
1.1.2	mandat	1
1.2	forståelse	1
1.3	arbeid	1
1.300	mil	1
1.4	sekretariat	1
10	%	1
10	8	1
10	9	1
10	Lucy	2
10	Maryland	1
10	Wisconsin	1
10	ane	1
10	august	1
10	dag	1
10	februar	1
10	milliard	2
10	million	4
10	minutt	1
10	prosent	2
10	tilslag	1
10	valgmannstemme	1
10	watt	1
10	§	1
10	år	2
10,3	prosent	1
10.	juni	1
10.000	euro	1
10.000	krone	1
10.45	føde	1
100	000	2
100	ansatt	1
100	forskningsuniversitet	1
100	god	1
100	gå	1
100	krone	1
100	land	1
100	leilighet	1
100	meter	4
100	million	2
100	prosent	5
100	situp	1
100	universitet	1
100	valgmann	1
100	år	1
100-meter	fire	1
100-meter	gjøre	1
100-årsjubileum	ha	1
100.000	euro	1
1000	kr	1
1000	krone	1
1000	mikrometer	1
1000	stemme	1
1000	år	2
10000	liv	1
10000	menneske	1
10000	samle	1
10000	tilskuer	1
10cc	spille	1
11	000	1
11	10	1
11	Massachusetts	1
11	Oliver	2
11	Tennessee	1
11	august	1
11	dag	1
11	gang	1
11	passe	1
11	ringe	1
11	skru	1
11	time	1
11	valgmannstemme	1
11	§	1
11	§§	1
11	år	1
11-doble	solenergi	1
11-tid	komme	1
11-tid	våkne	1
11.	desember	1
11.	oktober	1
11.	september	1
11.-plass	innlede	1
11.3.1	jf.	1
11.3.2	grunnlag	1
11.3.3	oversikt	1
11.4	vurdering	1
11.4.1	behov	1
110	forsvinne	1
110	million	1
1100-tall	midt	1
112	ringe	1
11790	ZD	1
12	Gaute	1
12	Nord-Carolina	1
12	gå	1
12	lov	1
12	meter	1
12	milliard	2
12	million	1
12	mål	1
12	måned	1
12	prosent	1
12	to	1
12	valgmannstemme	2
12	§	1
12	år	4
12	øke	1
12-åring	hverdag	1
12.	september	1
12.30	finne	1
12.40	starte	1
120	ansatt	1
120	milliard	1
120-tall	Suetonius	1
120.000	menneske	2
1200	stille	1
1200	time	1
1200	år	1
12000	finger	1
122	spørsmål	1
123	ha	1
1233	medlem	1
125	medarbeider	1
125	år	2
125-årsdag	følelse	1
13	11	1
13	9	1
13	FN-soldat	1
13	Hannah	3
13	Virginia	1
13	barn	1
13	fylle	1
13	land	1
13	medlem	2
13	million	3
13	skyte	1
13	slag	1
13	tirsdag	1
13	valgmann	3
13	valgmannstemme	3
13	år	1
13-åring	forsikre	1
13-åring	få	1
13-åringen	forelder	1
13.	januar	1
13.	juli	1
13.	oktober	1
13.500	bot	2
130	km/t	1
130.000	stemme	1
1300	SEK	1
1300-tall	midt	1
1350	snakke	1
135a	§	5
136	000	1
1363	skrive	1
14	000	2
14	New	1
14	annen	1
14	gi	1
14	mangle	1
14	medlem	1
14	meter	3
14	million	1
14	minutt	1
14	mye	1
14	prosent	1
14	sekser	1
14	§	1
14	år	4
14,6	27,5	1
14,7	prosent	1
14-åring	jeg	1
14-årsalder	spille	1
14.	august	1
14.	august-arrangement	1
14.	august-feiring	1
14.	desember	1
14.	februar	1
14.	mars	1
14.	november	1
14.	oktober	1
14.	september	1
14.000	stemme	1
14.06	innlegg	1
14.30	stille	1
140.000	næringsdrivende	1
148	ha	1
14800	selge	1
15	10	2
15	14	1
15	North	1
15	Stortingsmelding	1
15	diskutere	2
15	gjestetoalett	1
15	million	2
15	minutt	1
15	prosent	3
15	slå	1
15	tilbringe	1
15	utvalgsmedlem	1
15	år	8
15-åring	bo	2
15-åring	god	1
15-åring	landslagledelse	1
15-års	dag	1
15-årsalder	lære	1
15.	august	1
15.	februar	1
15.	januar	1
15.	mars	3
15.	september	2
15.00	starte	1
15.000	10.000	1
15.000	finnes	1
150	innbygger	1
150	konsert	1
150	mye	1
1500	1000	1
1500	side	1
1500-tall	begynne	1
1500-tall	ny	1
15000	gå	1
152	ha	1
152	§	1
153	valgmannstemme	1
1582	innføre	1
16	15	1
