Prec	Seq	Count
+	в	1
+10	градус-знак	1
0	для	1
0	как	1
0	составлять	1
0,3	миллиметр	1
0,4	миллиметр	1
0,5	процент	1
0,6	градус	1
1	10	3
1	10-й	1
1	2	1
1	3	1
1	400-й	1
1	5	2
1	770-й	1
1	а	1
1	в	2
1	градус	1
1	доллар	1
1	и	1
1	июль	1
1	июнь	1
1	километр	2
1	миллиард	2
1	миллион	3
1	минус	1
1	процент	1
1	процент-знак	1
1	см/с	1
1	январь	1
1,2	миллиард	1
1,2	миллион	1
1,5	миллиард	1
1,5	миллион	1
1,5	процент-знак	1
1,5	раз	1
1,5	тысяча	1
1,6	процент-знак	1
1,8	градус	1
1,8	километр	1
1,9	триллион	1
1-й	2-й	2
1-й	до	1
1-й	казачий	1
10	100	3
10	12	3
10	15	5
10	20	3
10	вершина	1
10	год	11
10	градус	1
10	до	3
10	доллар	2
10	или	1
10	миллиард	1
10	миллион	3
10	минута	1
10	ноябрь	1
10	процент	8
10	процент-знак	2
10	раз	3
10	разный	1
10	тысяча	2
10	тысячелетие	1
10	человек	3
10-й	плотность	1
10-миллионный	в	1
10-процентный	снижение	1
10-процентный	ставка	1
100	500	1
100	альпинист	1
100	банк	1
100	в	1
100	год	2
100	до	1
100	доллар	2
100	кость	1
100	миллиард	2
100	миллиграмм	2
100	миллион	4
100	не	1
100	почтовый	1
100	процент	1
100	раз	1
100	становиться	1
100	тысяча	5
100	участник	1
100%-й	эффект	1
100-летний	опыт	1
100-страничный	план	1
1000	1500	1
1000	год	1
1000	градус-знак	1
1000	пункт	1
1000	рубль	1
1000	то	1
1000	флорин	1
1000	член	1
1000-коечный	больница	1
10000	за	1
10000	из	1
100000	зритель	1
1003	становиться	1
100к	комплекс	1
1020	километр	1
103	5	1
10_000	мужчина	1
11	12	1
11	15	1
11	до	1
11	июнь	1
11	март	1
11	процент-знак	1
11	сентябрь	3
11,47	процент-знак	1
110	человек	1
114	заключенный	1
1155	год	1
1177	1236	1
12	16	1
12	4	1
12	апрель	1
12	выполнять	1
12	где	1
12	год	4
12	государство	1
12	доллар	1
12	единица	1
12	за	1
12	из	1
12	метр	1
12	миллион	2
12	по	2
12	процент	1
12	процент-знак	2
12	с	1
12	сеть	1
12	страна	2
12	тувинский	1
12	тысяча	1
12	часовой	1
12	человек	1
12	январь	1
12-процентный	повышение	1
12.00	интенсивно	1
120	километр	2
120	миллион	2
120	рубль	1
120	у	1
1200	до	1
1200	и	1
1200	человек	1
1204	год	1
1206	год	1
121	метр	1
1224	1204	1
1236	в	1
124	младший	1
1240	или	1
125	130	1
125	человек	1
1250	год	1
1275	1280	1
1280	жан	1
12х	и	1
12х	который	1
13	август	1
13	год	4
13	и	1
13	привозить	1
13	процент	2
13	судостроительный	1
13	февраль	1
13,3	процент	1
13-й	по	1
13-процентный	подоходный	1
130	и	1
130	метр	1
130	тысяча	1
1303	год	1
1306	1303	1
1323	25	1
135	в	1
1360	год	1
1367	год	1
1369	год	1
137	комиссия	1
1382	писать	1
139,5	миллион	1
14	а	1
14	восхождение	1
14	восьмитысячник	3
14	высокий	1
14	год	2
