Head_Lemma	Dep_Lemma	Relation	Count
'savoir	de	case	1
'savoir	faire'	compound	1
'savoir	su	det	1
+	D	flat	1
-1	con	case	1
-1	uno	det	1
-7,5	1999	nmod	1
-7,5	ciento	compound	1
-7,5	del	case	1
.20	Ariel	appos	1
.264	de	case	1
.74	Guillermo	appos	1
.75	Aníbal	appos	1
.77	Eduardo	appos	1
.79	Fernando	appos	1
.84	Leonardo	appos	1
0	1	appos	1
0	Gran	appos	1
0	condición	nsubj	1
0	d	appos	1
0	entre	case	1
0	por	advmod	1
0	que	mark	1
0	ser	cop	1
0,01	ciento	compound	1
0,01	uno	det	1
0,07	ciento	compound	1
0,07	con	case	1
0,07	el	det	1
0,23	ciento	compound	1
0,23	de	case	1
0,23	inflación	nsubj	1
0,23	ligeramente	advmod	1
0,23	septiembre	nmod	1
0,23	ser	cop	1
0,29	ciento	compound	1
0,29	uno	det	1
0,31	ciento	compound	1
0,31	septiembre	nmod	1
0,35	ciento	compound	1
0,35	uno	det	1
0,41	ciento	compound	1
0,41	uno	det	1
0,49	ciento	compound	1
0,49	uno	det	1
0,5	%	nmod	1
0,5	PIB	nmod	1
0,5	al	case	1
0,5	ciento	compound	2
0,5	el	det	1
0,5	en	case	1
0,5	hasta	case	1
0,5	récord	appos	1
0,5	uno	nmod	1
0,5	venta	nmod	1
0,6	5.38	conj	1
0,6	Producto	nmod	1
0,6	ciento	compound	1
0,6	el	det	1
0,71	ciento	compound	1
0,71	uno	det	1
0,74	ciento	compound	1
0,74	uno	det	1
0,77	ciento	compound	1
0,77	en	case	1
0,77	uno	det	1
0,81	ciento	compound	1
0,81	costo	nmod	1
0,81	del	case	1
0,81	y	cc	1
0-1	.14	appos	1
0-1	Celta	nmod	1
0-1	Karina	appos	1
0-1	por	case	1
0.25	0.50	conj	1
0.5	cuando	mark	1
0.5	de	case	1
0.5	nivel	nsubj	1
0.5	ser	cop	1
0.50	o	cc	1
0.54	del	case	1
0.54	gas	nmod	1
0.92	el	det	1
0.9349	el	det	1
0.9355	el	det	1
0.938	el	det	1
0.938	hora	nmod	1
0.943	en	case	1
0.943	también	advmod	1
0.95	el	det	1
0.9515	dólar	conj	1
0.9515	el	det	1
0.9515	entre	case	1
0.9554	el	det	1
06.00	10.00	appos	1
06.00	18.00	conj	1
06.00	el	det	2
06.00	entre	case	1
06.00	hora	appos	1
06.00	hoy	advmod	1
07.00	el	det	1
072827	GMT	appos	1
072827	a	case	1
072827	el	det	1
073042	GMT	appos	1
073042	a	case	1
073042	el	det	1
08.00	a	case	1
08.00	el	det	1
08.00	gmt	appos	1
08.00	hora	appos	1
09.25	GMT	appos	1
09.25	de	case	1
09.25	el	det	1
09.30	GMT	appos	1
09.30	el	det	1
09.30	hasta	case	1
09.30	hora	appos	1
1	2	conj	1
1	2001	compound	3
1	2003	compound	2
1	2005	compound	1
1	Argentina	appos	1
1	a	case	5
1	ciento	compound	2
1	de	case	1
1	del	case	3
1	desde	case	1
1	diciembre	compound	2
1	el	det	5
1	enero	compound	6
1	entre	case	1
1	hasta	case	3
1	inflación	obj	1
1	julio	compound	1
1	mayo	compound	1
1	mayo	nmod	1
1	próximo	amod	3
1	reducir	aux	1
1,03	ciento	compound	1
1,03	con	case	1
1,03	uno	det	1
1,08	ciento	compound	1
1,08	con	case	1
1,08	el	det	1
1,3	ciento	compound	1
1,3	del	case	1
1,3	ser	cop	1
1,3	tipo	nsubj	1
1,3	y	cc	1
1,31	agosto	nmod	1
1,31	ciento	compound	1
1,31	en	case	1
1,32	ciento	compound	1
1,32	más	advmod	1
1,32	periodo	obl	1
1,32	uno	det	1
1,43	ciento	compound	1
